	gene	module
1	Sp34_10000100.t1	ME9
2	Sp34_10000300.t1	ME0
3	Sp34_10000510.t1	ME1
4	Sp34_10000600.t1	ME1
5	Sp34_10000700.t1	ME3
6	Sp34_10000810.t1	ME8
7	Sp34_10000820.t1	ME1
8	Sp34_10000900.t1	ME5
9	Sp34_10001000.t1	ME1
10	Sp34_10001100.t1	ME25
11	Sp34_10001200.t1	ME1
12	Sp34_10001300.t1	ME3
13	Sp34_10001400.t1	ME0
14	Sp34_10001500.t1	ME6
15	Sp34_10001600.t1	ME1
16	Sp34_10001710.t1	ME1
17	Sp34_10001720.t1	ME9
18	Sp34_10001800.t1	ME1
19	Sp34_10001900.t1	ME4
20	Sp34_10002000.t1	ME1
21	Sp34_10002100.t1	ME1
22	Sp34_10002200.t1	ME1
23	Sp34_10002300.t1	ME1
24	Sp34_10002400.t1	ME1
25	Sp34_10002500.t1	ME3
26	Sp34_10002610.t1	ME2
27	Sp34_10002620.t1	ME4
28	Sp34_10002700.t1	ME8
29	Sp34_10002800.t1	ME1
30	Sp34_10002900.t1	ME31
31	Sp34_10003000.t1	ME0
32	Sp34_10003100.t1	ME1
33	Sp34_10003200.t1	ME1
34	Sp34_10003300.t1	ME13
35	Sp34_10003400.t1	ME1
36	Sp34_10003500.t1	ME11
37	Sp34_10003600.t1	ME4
38	Sp34_10003700.t1	ME2
39	Sp34_10003800.t1	ME3
40	Sp34_10003900.t1	ME5
41	Sp34_10004000.t1	ME8
42	Sp34_10004100.t1	ME1
43	Sp34_10004200.t1	ME3
44	Sp34_10004300.t1	ME1
45	Sp34_10004400.t1	ME1
46	Sp34_10004600.t1	ME41
47	Sp34_10004710.t1	ME19
48	Sp34_10004800.t1	ME39
49	Sp34_10004900.t1	ME1
50	Sp34_10005000.t1	ME3
51	Sp34_10005100.t1	ME9
52	Sp34_10005200.t1	ME1
53	Sp34_10005310.t1	ME1
54	Sp34_10005410.t1	ME2
55	Sp34_10005420.t1	ME1
56	Sp34_10005500.t1	ME1
57	Sp34_10005600.t1	ME1
58	Sp34_10005700.t1	ME1
59	Sp34_10005800.t1	ME2
60	Sp34_10005900.t1	ME1
61	Sp34_10006000.t1	ME3
62	Sp34_10006100.t1	ME3
63	Sp34_10006210.t1	ME0
64	Sp34_10006300.t1	ME1
65	Sp34_10006510.t1	ME8
66	Sp34_10006520.t1	ME6
67	Sp34_10006600.t1	ME8
68	Sp34_10006700.t1	ME2
69	Sp34_10006800.t1	ME5
70	Sp34_10006900.t1	ME1
71	Sp34_10007010.t1	ME1
72	Sp34_10007020.t1	ME1
73	Sp34_10007100.t1	ME1
74	Sp34_10007200.t1	ME0
75	Sp34_10007300.t1	ME3
76	Sp34_10007400.t1	ME2
77	Sp34_10007500.t1	ME1
78	Sp34_10007610.t1	ME1
79	Sp34_10007700.t1	ME17
80	Sp34_10007800.t1	ME1
81	Sp34_10007900.t1	ME1
82	Sp34_10008000.t1	ME0
83	Sp34_10008200.t1	ME17
84	Sp34_10008300.t1	ME3
85	Sp34_10008400.t1	ME0
86	Sp34_10008500.t1	ME1
87	Sp34_10008600.t1	ME1
88	Sp34_10008710.t1	ME5
89	Sp34_10008720.t1	ME1
90	Sp34_10008800.t1	ME1
91	Sp34_10008900.t1	ME1
92	Sp34_10009000.t1	ME3
93	Sp34_10009100.t1	ME1
94	Sp34_10009200.t1	ME4
95	Sp34_10009310.t1	ME3
96	Sp34_10009400.t1	ME15
97	Sp34_10009500.t1	ME1
98	Sp34_10009610.t1	ME2
99	Sp34_10009700.t1	ME1
100	Sp34_10009800.t1	ME1
101	Sp34_10009900.t1	ME2
102	Sp34_10010100.t1	ME1
103	Sp34_10010200.t1	ME1
104	Sp34_10010311.t1	ME17
105	Sp34_10010320.t1	ME3
106	Sp34_10010400.t1	ME1
107	Sp34_10010510.t1	ME1
108	Sp34_10010600.t1	ME3
109	Sp34_10010700.t1	ME1
110	Sp34_10010800.t1	ME1
111	Sp34_10010900.t1	ME1
112	Sp34_10011000.t1	ME37
113	Sp34_10011100.t1	ME5
114	Sp34_10011200.t1	ME6
115	Sp34_10011300.t1	ME1
116	Sp34_10011400.t1	ME1
117	Sp34_10011500.t1	ME3
118	Sp34_10011610.t1	ME1
119	Sp34_10011700.t1	ME3
120	Sp34_10011800.t1	ME1
121	Sp34_10011900.t1	ME1
122	Sp34_10012010.t1	ME1
123	Sp34_10012100.t1	ME1
124	Sp34_10012200.t1	ME3
125	Sp34_10012300.t1	ME1
126	Sp34_10012310.t1	ME2
127	Sp34_10012400.t1	ME2
128	Sp34_10012500.t1	ME2
129	Sp34_10012600.t1	ME2
130	Sp34_10012700.t1	ME1
131	Sp34_10012800.t1	ME1
132	Sp34_10012900.t1	ME1
133	Sp34_10013000.t1	ME2
134	Sp34_10013100.t1	ME1
135	Sp34_10013210.t1	ME1
136	Sp34_10013300.t1	ME6
137	Sp34_10013400.t1	ME2
138	Sp34_10013500.t1	ME5
139	Sp34_10013600.t1	ME19
140	Sp34_10013710.t1	ME7
141	Sp34_10013720.t1	ME1
142	Sp34_10013800.t1	ME17
143	Sp34_10013900.t1	ME11
144	Sp34_10014000.t1	ME1
145	Sp34_10014100.t1	ME1
146	Sp34_10014200.t1	ME3
147	Sp34_10014300.t1	ME3
148	Sp34_10014400.t1	ME7
149	Sp34_10014500.t1	ME1
150	Sp34_10014600.t1	ME1
151	Sp34_10014700.t1	ME5
152	Sp34_10014800.t1	ME2
153	Sp34_10014900.t1	ME2
154	Sp34_10015000.t1	ME1
155	Sp34_10015100.t1	ME1
156	Sp34_10015200.t1	ME1
157	Sp34_10015300.t1	ME2
158	Sp34_10015400.t1	ME1
159	Sp34_10015500.t1	ME1
160	Sp34_10015600.t1	ME1
161	Sp34_10015700.t1	ME1
162	Sp34_10015900.t1	ME1
163	Sp34_10016000.t1	ME1
164	Sp34_10016100.t1	ME37
165	Sp34_10016200.t1	ME1
166	Sp34_10016300.t1	ME2
167	Sp34_10016410.t1	ME3
168	Sp34_10016500.t1	ME15
169	Sp34_10016600.t1	ME1
