cluster	L4_coeff	adult_coeff	L4_p	adult_p	cluster	adult_p_adjust	L4_p_adjust
20	7.29060922645712	8.19301371851522	4.55443806279249E-13	4.63665134555501E-14	20	7.13330976239233E-14	7.59073010465415E-13
15	6.66623835988453	7.50761038377834	1.14819753357766E-72	1.69173323737361E-80	15	3.38346647474721E-80	3.82732511192552E-72
8	6.55214566616686	7.50456968725008	1.05927281236278E-272	1.00002668672383E-298	8	4.00010674689532E-298	5.29636406181389E-272
6	3.7166188681754	4.3314418748034	0	0	6	0	0
18	2.18318428962694	3.08586084217887	2.2992322635125E-08	7.61377294732083E-12	18	1.08768184961726E-11	3.53728040540385E-08
3	2.30496559924338	2.9173535612854	0	0	3	0	0
13	2.22655559212261	2.89550073017745	1.21540148876947e-321	0	13	0	8.10267659179644e-321
5	1.23212513780109	1.93474389824441	2.57786369726353E-210	0	5	0	1.03114547890541E-209
19	5.94321430322072	1.9293466296565	9.03337571141979E-27	1.52848513272883E-07	19	1.91060641591104E-07	2.58096448897708E-26
12	0.231944325317825	0.246451304034287	4.00369084651336E-16	5.51952818902205E-18	12	9.19921364837008E-18	8.00738169302673E-16
4	-0.0194225279780969	0.115535377309756	0.313017036885424	2.01748412696908E-09	4	2.68997883595878E-09	0.313017036885424
2	0.0625677730334936	0.0579567982791356	0.0032704232540667	0.00644108548222754	2	0.00678008998129214	0.00384755676949023
9	0.0338255235076617	-0.0130418418863462	0.189019662669606	0.612528036618677	9	0.612528036618677	0.198968065968007
7	0.272981456724131	-0.149871259645757	1.46639079822877E-15	1.11372509913595E-05	7	1.23747233237327E-05	2.66616508768867E-15
1	-0.262755671010581	-0.864821877090958	1.55485158452746E-21	1.12923443528789E-205	1	3.76411478429296E-205	3.88712896131865E-21
10	-0.135023914092297	-0.886484729926995	0.000111928220254243	6.28930006305612E-130	10	1.57232501576403E-129	0.000149237627005658
14	-0.549216204892689	-0.934722452143274	0.00694768007101366	9.94681336245596E-06	14	1.17021333675952E-05	0.00771964452334852
11	-0.509901472227204	-0.970204398409414	1.49388295965958E-19	1.20970901269703E-62	11	2.19947093217642E-62	3.31973991035461E-19
16	-0.47657740655785	-4.69610950924214	2.99726962379123E-05	3.35244455273329E-147	16	9.57841300780939E-147	4.28181374827318E-05
17	-0.536605357496892	-4.84544969099862	0.000121736676813059	9.6826108954664E-94	17	2.15169131010364E-93	0.000152170846016324
