interpro_id	interpro_description	all_genes_with	all_genes_without	test_genes_with	test_genes_without	fra_all_genes_with	fra_test_genes_with	chisq_statistic	chisq_df	chisq_p	pos_neg	p.adj
IPR036397	Ribonuclease H superfamily	1324	30095	81	10428	0.042140106305102	0.0077084126379901	287.218316210309	1	2.00756654348613E-64	positive	4.21829882117306E-60
IPR038717	Tc1-like transposase, DDE domain	272	31147	7	10502	0.00865718195996053	0.000666159116863342	74.8741524026258	1	5.01695447388379E-18	positive	2.63540618513115E-14
IPR009057	Homeobox-like domain superfamily	419	31000	34	10475	0.0133358795633216	0.00323562999619338	74.2312537271475	1	6.94815074320659E-18	positive	2.91989086832514E-14
IPR043502	DNA/RNA polymerase superfamily	341	31078	29	10480	0.0108533053248035	0.0027598020555767	58.0580209167968	1	2.54499653577788E-14	positive	5.94171857886276E-11
IPR000477	Reverse transcriptase domain	290	31129	20	10489	0.00923008370731086	0.00190331176246669	56.6111787487032	1	5.31090628091042E-14	positive	1.1159276277449E-10
IPR043128	Reverse transcriptase/Diguanylate cyclase domain	277	31142	19	10490	0.00881632133422451	0.00180814617434336	54.1832782941515	1	1.82634455907757E-13	positive	3.48865017048526E-10
IPR036388	Winged helix-like DNA-binding domain superfamily	465	30954	62	10447	0.0147999618065502	0.00590026646364675	49.5476454930782	1	1.93612083980342E-12	positive	2.71211807239664E-09
IPR001888	Transposase, type 1	158	31261	4	10505	0.00502880422674178	0.000380662352493338	43.0070022262124	1	5.45442944765413E-11	positive	7.16302947213178E-08
IPR041426	Mos1 transposase, HTH domain	177	31242	8	10501	0.00563353384894491	0.000761324704986677	41.4547235545617	1	1.20632725647059E-10	positive	1.49102048899765E-07
IPR002492	Transposase, Tc1-like	126	31293	4	10505	0.00401031223145231	0.000380662352493338	32.4017859074019	1	1.25371202394563E-08	positive	1.19740895668844E-05
IPR003125	Domain of unknown function WSN	55	31364	52	10457	0.00175053311690378	0.0049486105824134	30.3885086584298	1	3.53616767109143E-08	positive	2.97207820419893E-05
IPR000535	Major sperm protein (MSP) domain	59	31360	54	10455	0.00187784461631497	0.00513894175866007	29.9477447245762	1	4.43847835776365E-08	positive	3.33076097333321E-05
IPR001584	Integrase, catalytic core	163	31256	12	10497	0.00518794360100576	0.00114198705748002	30.0510502447698	1	4.20820558406534E-08	positive	3.33076097333321E-05
IPR008962	PapD-like superfamily	59	31360	54	10455	0.00187784461631497	0.00513894175866007	29.9477447245762	1	4.43847835776365E-08	positive	3.33076097333321E-05
IPR003595	Protein-tyrosine phosphatase, catalytic	74	31345	62	10447	0.00235526273910691	0.00590026646364675	29.5135479917075	1	5.55271998616612E-08	positive	3.88912507831075E-05
IPR005312	Protein of unknown function DUF1759	139	31280	8	10501	0.00442407460453866	0.000761324704986677	29.2014958200251	1	6.5228828808206E-08	positive	4.3640599344308E-05
