Term	Expected	Observed	Enrichment Fold Change	P value	Q value
molting cycle GO:0042303	3.2	21	6.6	8e-13	9.8e-11
cell projection organization GO:0030030	10	38	3.7	1e-12	9.8e-11
structural constituent of cuticle GO:0042302	5.1	25	4.9	1e-11	4.3e-10
cell projection GO:0042995	19	53	2.7	2.6e-11	7.9e-10
serine-type endopeptidase activity GO:0004252	3.2	17	5.3	2.9e-09	7.1e-08
extracellular space GO:0005615	7.5	25	3.3	5.3e-08	1.1e-06
serine hydrolase activity GO:0017171	4	17	4.2	1.2e-07	2.1e-06
intrinsic component of membrane GO:0031224	1.8e+02	228	1.3	4.3e-05	0.00065
metalloendopeptidase activity GO:0004222	3.2	11	3.4	9.3e-05	0.0013
dendritic tree GO:0097447	4.1	12	2.9	0.00028	0.0034
male anatomical structure morphogenesis GO:0090598	4.2	12	2.9	0.0003	0.0034
regulatory region nucleic acid binding GO:0001067	11	23	2	0.0005	0.0051
biological adhesion GO:0022610	3.3	9	2.7	0.0017	0.016
passive transmembrane transporter activity GO:0022803	12	22	1.8	0.0028	0.025
double-stranded DNA binding GO:0003690	13	23	1.8	0.003	0.025
DNA-binding transcription factor activity GO:0003700	19	30	1.6	0.0049	0.038
neurogenesis GO:0022008	9.9	18	1.8	0.0055	0.039
neuron development GO:0048666	5.8	12	2.1	0.0059	0.04
cellular macromolecule localization GO:0070727	16	26	1.6	0.006	0.04
calcium ion binding GO:0005509	5.2	11	2.1	0.0062	0.04
negative regulation of metabolic process GO:0009892	20	30	1.5	0.011	0.064
regulation of protein metabolic process GO:0051246	17	26	1.5	0.013	0.071
potassium ion transmembrane transport GO:0071805	3.3	7	2.1	0.018	0.096
