wbid,term,found
WBGene00001071,structural constituent of cuticle GO:0042302,1.0
WBGene00003057,structural constituent of cuticle GO:0042302,1.0
WBGene00000251,structural constituent of cuticle GO:0042302,1.0
WBGene00000712,structural constituent of cuticle GO:0042302,1.0
WBGene00001070,structural constituent of cuticle GO:0042302,1.0
WBGene00001065,structural constituent of cuticle GO:0042302,1.0
WBGene00000747,structural constituent of cuticle GO:0042302,1.0
WBGene00005016,structural constituent of cuticle GO:0042302,1.0
WBGene00000608,structural constituent of cuticle GO:0042302,1.0
WBGene00000703,structural constituent of cuticle GO:0042302,1.0
WBGene00000651,structural constituent of cuticle GO:0042302,1.0
WBGene00000627,structural constituent of cuticle GO:0042302,1.0
WBGene00005017,structural constituent of cuticle GO:0042302,1.0
WBGene00001076,structural constituent of cuticle GO:0042302,1.0
WBGene00000680,structural constituent of cuticle GO:0042302,1.0
WBGene00000597,structural constituent of cuticle GO:0042302,1.0
WBGene00004397,structural constituent of cuticle GO:0042302,1.0
WBGene00000853,structural constituent of cuticle GO:0042302,1.0
WBGene00000754,structural constituent of cuticle GO:0042302,1.0
WBGene00009041,structural constituent of cuticle GO:0042302,1.0
WBGene00000695,structural constituent of cuticle GO:0042302,1.0
WBGene00001075,structural constituent of cuticle GO:0042302,1.0
WBGene00001069,structural constituent of cuticle GO:0042302,1.0
WBGene00000657,structural constituent of cuticle GO:0042302,1.0
WBGene00000757,structural constituent of cuticle GO:0042302,1.0
WBGene00006620,serine-type endopeptidase activity GO:0004252,1.0
WBGene00010613,serine-type endopeptidase activity GO:0004252,1.0
WBGene00019646,serine-type endopeptidase activity GO:0004252,1.0
WBGene00011328,serine-type endopeptidase activity GO:0004252,1.0
WBGene00012186,serine-type endopeptidase activity GO:0004252,1.0
WBGene00015426,serine-type endopeptidase activity GO:0004252,1.0
WBGene00009328,serine-type endopeptidase activity GO:0004252,1.0
WBGene00013846,serine-type endopeptidase activity GO:0004252,1.0
WBGene00020648,serine-type endopeptidase activity GO:0004252,1.0
WBGene00005643,serine-type endopeptidase activity GO:0004252,1.0
WBGene00015620,serine-type endopeptidase activity GO:0004252,1.0
WBGene00020017,serine-type endopeptidase activity GO:0004252,1.0
WBGene00012271,serine-type endopeptidase activity GO:0004252,1.0
WBGene00007479,serine-type endopeptidase activity GO:0004252,1.0
WBGene00013849,serine-type endopeptidase activity GO:0004252,1.0
WBGene00023416,serine-type endopeptidase activity GO:0004252,1.0
WBGene00010738,serine-type endopeptidase activity GO:0004252,1.0
WBGene00006620,regulation of protein metabolic process GO:0051246,1.0
WBGene00010613,regulation of protein metabolic process GO:0051246,1.0
WBGene00020863,regulation of protein metabolic process GO:0051246,1.0
WBGene00019646,regulation of protein metabolic process GO:0051246,1.0
WBGene00019212,regulation of protein metabolic process GO:0051246,1.0
WBGene00011328,regulation of protein metabolic process GO:0051246,1.0
WBGene00021594,regulation of protein metabolic process GO:0051246,1.0
WBGene00017033,regulation of protein metabolic process GO:0051246,1.0
WBGene00012186,regulation of protein metabolic process GO:0051246,1.0
WBGene00015426,regulation of protein metabolic process GO:0051246,1.0
WBGene00009328,regulation of protein metabolic process GO:0051246,1.0
WBGene00013846,regulation of protein metabolic process GO:0051246,1.0
WBGene00016523,regulation of protein metabolic process GO:0051246,1.0
WBGene00012670,regulation of protein metabolic process GO:0051246,1.0
WBGene00020648,regulation of protein metabolic process GO:0051246,1.0
WBGene00005643,regulation of protein metabolic process GO:0051246,1.0
WBGene00015620,regulation of protein metabolic process GO:0051246,1.0
WBGene00020017,regulation of protein metabolic process GO:0051246,1.0
WBGene00012271,regulation of protein metabolic process GO:0051246,1.0
WBGene00003029,regulation of protein metabolic process GO:0051246,1.0
WBGene00007479,regulation of protein metabolic process GO:0051246,1.0
WBGene00010765,regulation of protein metabolic process GO:0051246,1.0
WBGene00013849,regulation of protein metabolic process GO:0051246,1.0
WBGene00023416,regulation of protein metabolic process GO:0051246,1.0
WBGene00006612,regulation of protein metabolic process GO:0051246,1.0
WBGene00010738,regulation of protein metabolic process GO:0051246,1.0
