Term	Expected	Observed	Enrichment Fold Change	P value	Q value
epithelial system WBbt:0005730	1.7e+02	291	1.7	1e-19	3.1e-17
BAG WBbt:0006825	16	60	3.7	9.1e-19	1.4e-16
touch receptor neuron WBbt:0005237	64	135	2.1	8.4e-16	8.4e-14
inner labial sensillum WBbt:0005116	15	42	2.8	1.6e-09	1.2e-07
outer labial sensillum WBbt:0005501	96	146	1.5	4.1e-07	2.5e-05
PHA WBbt:0007807	4.3	16	3.7	1.4e-06	7.2e-05
AQR WBbt:0003927	1.3	8	6.1	4.6e-06	0.0002
PQR WBbt:0004096	2.4	11	4.6	4.8e-06	0.0002
hook sensillum WBbt:0006930	11	28	2.5	5.8e-06	0.0002
CEM WBbt:0005246	11	27	2.4	1.2e-05	0.00035
ASG WBbt:0005664	2.3	10	4.4	1.4e-05	0.00039
ray WBbt:0006941	14	31	2.2	2.3e-05	0.00058
PHB WBbt:0007808	4.3	14	3.2	2.9e-05	0.00068
osmosensory neuron WBbt:0008433	4.8	15	3.1	3e-05	0.00068
nociceptor neuron WBbt:0008434	4.8	15	3.1	3e-05	0.00068
nervous system WBbt:0005735	3.3e+02	396	1.2	3.3e-05	0.00068
URX WBbt:0006846	2.1	9	4.3	4.1e-05	0.00073
amphid socket cell WBbt:0008379	1.4	7	5.1	5.6e-05	0.00094
ASE WBbt:0005663	61	91	1.5	8.1e-05	0.0013
ADL WBbt:0005661	5.6	15	2.7	0.00017	0.0025
ASJ WBbt:0005667	4	12	3	0.00017	0.0025
AWB WBbt:0005671	3	10	3.4	0.00019	0.0026
PVD WBbt:0006831	95	129	1.4	0.00021	0.0027
lateral ganglion WBbt:0005105	78	109	1.4	0.00032	0.004
CEP WBbt:0005244	1.4	6	4.4	0.00039	0.0047
ASK WBbt:0005668	4.9	13	2.7	0.00043	0.005
ADF WBbt:0005660	2.9	9	3.1	0.00072	0.008
excretory duct cell WBbt:0004540	1.5	6	3.9	0.00079	0.0084
RMDL WBbt:0005037	1.1	5	4.4	0.00087	0.009
RMDR WBbt:0005033	1.1	5	4.4	0.00087	0.009
postdeirid sensillum WBbt:0005471	1.8	6	3.3	0.0023	0.022
hyp6 WBbt:0004679	1.9	6	3.1	0.003	0.029
tail WBbt:0005741	65	86	1.3	0.0042	0.038
amphid sensillum WBbt:0005391	1.3e+02	154	1.2	0.0055	0.049
SIA WBbt:0005361	1.2	4	3.3	0.0068	0.058
hyp5 WBbt:0004685	1.7	5	2.9	0.0068	0.058
PDE WBbt:0006747	1.7	5	2.9	0.0068	0.058
anterior ganglion WBbt:0005375	25	37	1.5	0.0073	0.058
RID WBbt:0003938	6.1	12	2	0.0092	0.071
ASI WBbt:0005666	7.7	14	1.8	0.011	0.085
