Term	Expected	Observed	Enrichment Fold Change	P value	Q value
molting cycle GO:0042303	3.4	24	7	5e-15	6.1e-13
cell projection organization GO:0030030	11	41	3.8	1.3e-13	7.7e-12
cell projection GO:0042995	21	55	2.6	4.5e-11	1.8e-09
structural constituent of cuticle GO:0042302	5.5	21	3.8	3.6e-08	1.1e-06
extracellular space GO:0005615	8.1	25	3.1	2.2e-07	5.3e-06
serine-type endopeptidase activity GO:0004252	3.4	15	4.4	3.2e-07	6.5e-06
serine hydrolase activity GO:0017171	4.3	16	3.7	1.7e-06	2.9e-05
metalloendopeptidase activity GO:0004222	3.5	13	3.8	9.6e-06	0.00015
regulatory region nucleic acid binding GO:0001067	12	27	2.2	4.5e-05	0.00062
passive transmembrane transporter activity GO:0022803	13	28	2.1	6.4e-05	0.00078
intrinsic component of membrane GO:0031224	1.9e+02	236	1.2	0.00034	0.0038
double-stranded DNA binding GO:0003690	14	27	1.9	0.00042	0.0042
male anatomical structure morphogenesis GO:0090598	4.5	12	2.7	0.0006	0.0056
DNA-binding transcription factor activity GO:0003700	20	35	1.7	0.00072	0.0062
biological adhesion GO:0022610	3.5	10	2.8	0.00083	0.0068
neurogenesis GO:0022008	11	21	2	0.0012	0.0091
calcium ion binding GO:0005509	5.6	13	2.3	0.0015	0.011
neuron development GO:0048666	6.2	14	2.2	0.0017	0.011
dendritic tree GO:0097447	4.5	11	2.5	0.0018	0.011
ligand-gated channel activity GO:0022834	5.2	12	2.3	0.0024	0.015
sequence-specific DNA binding GO:0043565	22	34	1.5	0.0054	0.031
cell periphery GO:0071944	54	71	1.3	0.0074	0.041
cellular macromolecule localization GO:0070727	17	27	1.6	0.0084	0.045
potassium ion transmembrane transport GO:0071805	3.6	8	2.2	0.0095	0.048
cation transmembrane transport GO:0098655	13	21	1.6	0.013	0.061
