Term	Expected	Observed	Enrichment Fold Change	P value	Q value
BAG WBbt:0006825	17	67	3.9	1.1e-21	3.4e-19
touch receptor neuron WBbt:0005237	69	152	2.2	2.4e-19	3.6e-17
epithelial system WBbt:0005730	1.8e+02	299	1.7	1.8e-17	1.8e-15
outer labial sensillum WBbt:0005501	1e+02	173	1.7	4e-11	3e-09
inner labial sensillum WBbt:0005116	16	46	2.8	1.7e-10	9.9e-09
PVD WBbt:0006831	1e+02	155	1.5	1.5e-07	7.3e-06
PHA WBbt:0007807	4.6	18	3.9	1.8e-07	7.9e-06
ASG WBbt:0005664	2.4	12	4.9	7.5e-07	2.8e-05
AQR WBbt:0003927	1.4	9	6.4	9.2e-07	3.1e-05
PHB WBbt:0007808	4.6	17	3.7	9.7e-07	3.1e-05
osmosensory neuron WBbt:0008433	5.2	18	3.5	1.2e-06	3.4e-05
nociceptor neuron WBbt:0008434	5.2	18	3.5	1.2e-06	3.4e-05
PQR WBbt:0004096	2.6	12	4.6	1.7e-06	4e-05
hook sensillum WBbt:0006930	12	30	2.4	3.1e-06	6.7e-05
ASJ WBbt:0005667	4.3	15	3.5	5.7e-06	0.00011
CEM WBbt:0005246	12	29	2.4	6.1e-06	0.00011
ray WBbt:0006941	15	33	2.2	1.7e-05	0.00029
ASE WBbt:0005663	65	100	1.5	1.7e-05	0.00029
lateral ganglion WBbt:0005105	84	123	1.5	2e-05	0.00031
ASK WBbt:0005668	5.3	16	3	2.4e-05	0.00035
ADL WBbt:0005661	6	17	2.8	3.7e-05	0.00053
nervous system WBbt:0005735	3.5e+02	422	1.2	4.4e-05	0.0006
URX WBbt:0006846	2.2	9	4	7.6e-05	0.00099
excretory duct cell WBbt:0004540	1.7	7	4.2	0.00021	0.0027
IL2DR WBbt:0004543	1.7	7	4.1	0.00029	0.0035
ADF WBbt:0005660	3.2	10	3.2	0.00032	0.0037
IL2DL WBbt:0004545	1.8	7	4	0.00033	0.0037
IL2VL WBbt:0004538	1.8	7	4	0.00033	0.0037
AWB WBbt:0005671	3.2	10	3.1	0.00036	0.0037
IL2VR WBbt:0004537	1.8	7	3.9	0.00038	0.0038
amphid socket cell WBbt:0008379	1.5	6	4.1	0.0006	0.0058
CEP WBbt:0005244	1.5	6	4.1	0.0006	0.0058
postdeirid sensillum WBbt:0005471	2	7	3.6	0.00073	0.0066
amphid sensillum WBbt:0005391	1.4e+02	172	1.3	0.00081	0.0071
hyp6 WBbt:0004679	2.1	7	3.4	0.001	0.0089
anterior ganglion WBbt:0005375	27	43	1.6	0.0011	0.0089
RMDL WBbt:0005037	1.2	5	4.1	0.0013	0.01
RMDR WBbt:0005033	1.2	5	4.1	0.0013	0.01
PDE WBbt:0006747	1.8	6	3.3	0.0022	0.017
IL2R WBbt:0004539	1.9	6	3.2	0.0025	0.018
SMD WBbt:0005353	1.9	6	3.2	0.0025	0.018
IL2L WBbt:0004541	1.9	6	3.2	0.0027	0.02
posterior lateral ganglion WBbt:0005465	6.7	14	2.1	0.0033	0.023
AWA WBbt:0005670	2.1	6	2.8	0.0055	0.037
IL1VR WBbt:0004547	1.2	4	3.4	0.0056	0.037
RMDVR WBbt:0005029	1.2	4	3.3	0.0064	0.041
PVQ WBbt:0006976	2.2	6	2.7	0.0071	0.045
RMDVL WBbt:0005031	1.2	4	3.3	0.0072	0.045
IL1R WBbt:0004551	1.3	4	3.2	0.0081	0.05
IL1L WBbt:0004553	1.3	4	3.1	0.0091	0.055
hyp5 WBbt:0004685	1.8	5	2.7	0.0096	0.056
DVA WBbt:0004823	1.8	5	2.7	0.0096	0.056
tail WBbt:0005741	70	89	1.3	0.0098	0.056
ASI WBbt:0005666	8.3	15	1.8	0.0098	0.056
AWCR WBbt:0003826	4.3	9	2.1	0.011	0.057
AWCL WBbt:0003827	4.3	9	2.1	0.011	0.057
hyp4 WBbt:0004687	1.9	5	2.6	0.012	0.066
ADE WBbt:0005415	1.4	4	2.8	0.014	0.072
