wbid,term,found
WBGene00006947,hyp6 WBbt:0004679,1.0
WBGene00003552,hyp6 WBbt:0004679,1.0
WBGene00021095,hyp6 WBbt:0004679,1.0
WBGene00001069,hyp6 WBbt:0004679,1.0
WBGene00000853,hyp6 WBbt:0004679,1.0
WBGene00003057,hyp6 WBbt:0004679,1.0
WBGene00003939,hyp6 WBbt:0004679,1.0
WBGene00003886,IL2R WBbt:0004539,1.0
WBGene00000476,IL2R WBbt:0004539,1.0
WBGene00000037,IL2R WBbt:0004539,1.0
WBGene00000484,IL2R WBbt:0004539,1.0
WBGene00003889,IL2R WBbt:0004539,1.0
WBGene00008128,IL2R WBbt:0004539,1.0
WBGene00004372,RMDVL WBbt:0005031,1.0
WBGene00001613,RMDVL WBbt:0005031,1.0
WBGene00001612,RMDVL WBbt:0005031,1.0
WBGene00000037,RMDVL WBbt:0005031,1.0
WBGene00003552,hyp5 WBbt:0004685,1.0
WBGene00021095,hyp5 WBbt:0004685,1.0
WBGene00001069,hyp5 WBbt:0004685,1.0
WBGene00000853,hyp5 WBbt:0004685,1.0
WBGene00003057,hyp5 WBbt:0004685,1.0
WBGene00012186,epithelial system WBbt:0005730,1.0
WBGene00005004,epithelial system WBbt:0005730,1.0
WBGene00001722,epithelial system WBbt:0005730,1.0
WBGene00011888,epithelial system WBbt:0005730,1.0
WBGene00001726,epithelial system WBbt:0005730,1.0
WBGene00016422,epithelial system WBbt:0005730,1.0
WBGene00044463,epithelial system WBbt:0005730,1.0
WBGene00018275,epithelial system WBbt:0005730,1.0
WBGene00007800,epithelial system WBbt:0005730,1.0
WBGene00001613,epithelial system WBbt:0005730,1.0
WBGene00000255,epithelial system WBbt:0005730,1.0
WBGene00012917,epithelial system WBbt:0005730,1.0
WBGene00009024,epithelial system WBbt:0005730,1.0
WBGene00001475,epithelial system WBbt:0005730,1.0
WBGene00021850,epithelial system WBbt:0005730,1.0
WBGene00012256,epithelial system WBbt:0005730,1.0
WBGene00011948,epithelial system WBbt:0005730,1.0
WBGene00006873,epithelial system WBbt:0005730,1.0
WBGene00009156,epithelial system WBbt:0005730,1.0
WBGene00011104,epithelial system WBbt:0005730,1.0
WBGene00138711,epithelial system WBbt:0005730,1.0
WBGene00004127,epithelial system WBbt:0005730,1.0
WBGene00012635,epithelial system WBbt:0005730,1.0
WBGene00015620,epithelial system WBbt:0005730,1.0
WBGene00004155,epithelial system WBbt:0005730,1.0
WBGene00009849,epithelial system WBbt:0005730,1.0
WBGene00014094,epithelial system WBbt:0005730,1.0
WBGene00013585,epithelial system WBbt:0005730,1.0
WBGene00019212,epithelial system WBbt:0005730,1.0
WBGene00003554,epithelial system WBbt:0005730,1.0
WBGene00009218,epithelial system WBbt:0005730,1.0
WBGene00022611,epithelial system WBbt:0005730,1.0
WBGene00012420,epithelial system WBbt:0005730,1.0
WBGene00044620,epithelial system WBbt:0005730,1.0
WBGene00011971,epithelial system WBbt:0005730,1.0
WBGene00044623,epithelial system WBbt:0005730,1.0
WBGene00008256,epithelial system WBbt:0005730,1.0
WBGene00001121,epithelial system WBbt:0005730,1.0
WBGene00009997,epithelial system WBbt:0005730,1.0
WBGene00019154,epithelial system WBbt:0005730,1.0
WBGene00001714,epithelial system WBbt:0005730,1.0
WBGene00001723,epithelial system WBbt:0005730,1.0
WBGene00011952,epithelial system WBbt:0005730,1.0
WBGene00022665,epithelial system WBbt:0005730,1.0
WBGene00009406,epithelial system WBbt:0005730,1.0
WBGene00018251,epithelial system WBbt:0005730,1.0
WBGene00010345,epithelial system WBbt:0005730,1.0
WBGene00004233,epithelial system WBbt:0005730,1.0
WBGene00044631,epithelial system WBbt:0005730,1.0
WBGene00001072,epithelial system WBbt:0005730,1.0
WBGene00011383,epithelial system WBbt:0005730,1.0
WBGene00022156,epithelial system WBbt:0005730,1.0
WBGene00003841,epithelial system WBbt:0005730,1.0
WBGene00006956,epithelial system WBbt:0005730,1.0
WBGene00000695,epithelial system WBbt:0005730,1.0
WBGene00009625,epithelial system WBbt:0005730,1.0
WBGene00044395,epithelial system WBbt:0005730,1.0
WBGene00006620,epithelial system WBbt:0005730,1.0
WBGene00021513,epithelial system WBbt:0005730,1.0
WBGene00012255,epithelial system WBbt:0005730,1.0
