Term	Expected	Observed	Enrichment Fold Change	P value	Q value
organelle fission GO:0048285	9.7	34	3.5	5.8e-11	7.1e-09
meiotic cell cycle GO:0051321	9.4	29	3.1	2.5e-08	1.5e-06
ribonucleoprotein granule GO:0035770	4.7	19	4	4.4e-08	1.8e-06
heterocycle metabolic process GO:0046483	94	146	1.6	6.9e-08	2.1e-06
cellular aromatic compound metabolic process GO:0006725	94	146	1.6	7.5e-08	2.1e-06
chromosome segregation GO:0007059	7.9	25	3.2	1.2e-07	2.3e-06
organic cyclic compound metabolic process GO:1901360	96	147	1.5	1.5e-07	2.6e-06
negative regulation of metabolic process GO:0009892	28	50	1.8	2.4e-05	0.00037
reproduction GO:0000003	34	58	1.7	5.1e-05	0.00069
embryo development ending in birth or egg hatching GO:0009792	14	28	1.9	0.00031	0.0038
metalloendopeptidase activity GO:0004222	4.5	11	2.5	0.0017	0.019
membrane-enclosed lumen GO:0031974	49	69	1.4	0.0018	0.019
regulation of protein metabolic process GO:0051246	23	37	1.6	0.0028	0.026
double-stranded DNA binding GO:0003690	18	29	1.6	0.0044	0.038
structural constituent of cuticle GO:0042302	7.1	14	2	0.005	0.041
regulation of nucleobase-containing compound metabolic process GO:0019219	47	64	1.3	0.0072	0.055
