wbid,term,found
WBGene00003976,ABplaappa WBbt:0006519,1.0
WBGene00021132,ABplaappa WBbt:0006519,1.0
WBGene00007433,ABplaappa WBbt:0006519,1.0
WBGene00015143,ABplaappa WBbt:0006519,1.0
WBGene00001061,ABplaappa WBbt:0006519,1.0
WBGene00008231,reproductive system WBbt:0005747,1.0
WBGene00003497,reproductive system WBbt:0005747,1.0
WBGene00018094,reproductive system WBbt:0005747,1.0
WBGene00009365,reproductive system WBbt:0005747,1.0
WBGene00013442,reproductive system WBbt:0005747,1.0
WBGene00044319,reproductive system WBbt:0005747,1.0
WBGene00001571,reproductive system WBbt:0005747,1.0
WBGene00022278,reproductive system WBbt:0005747,1.0
WBGene00009661,reproductive system WBbt:0005747,1.0
WBGene00012385,reproductive system WBbt:0005747,1.0
WBGene00018721,reproductive system WBbt:0005747,1.0
WBGene00003830,reproductive system WBbt:0005747,1.0
WBGene00009532,reproductive system WBbt:0005747,1.0
WBGene00003154,reproductive system WBbt:0005747,1.0
WBGene00020480,reproductive system WBbt:0005747,1.0
WBGene00010565,reproductive system WBbt:0005747,1.0
WBGene00015591,reproductive system WBbt:0005747,1.0
WBGene00001597,reproductive system WBbt:0005747,1.0
WBGene00009245,reproductive system WBbt:0005747,1.0
WBGene00016596,reproductive system WBbt:0005747,1.0
WBGene00019646,reproductive system WBbt:0005747,1.0
WBGene00011408,reproductive system WBbt:0005747,1.0
WBGene00002004,reproductive system WBbt:0005747,1.0
WBGene00007645,reproductive system WBbt:0005747,1.0
WBGene00008385,reproductive system WBbt:0005747,1.0
WBGene00010351,reproductive system WBbt:0005747,1.0
WBGene00008968,reproductive system WBbt:0005747,1.0
WBGene00004510,reproductive system WBbt:0005747,1.0
WBGene00016792,reproductive system WBbt:0005747,1.0
WBGene00013857,reproductive system WBbt:0005747,1.0
WBGene00011489,reproductive system WBbt:0005747,1.0
WBGene00002985,reproductive system WBbt:0005747,1.0
WBGene00002027,reproductive system WBbt:0005747,1.0
WBGene00011985,reproductive system WBbt:0005747,1.0
WBGene00011994,reproductive system WBbt:0005747,1.0
WBGene00010913,reproductive system WBbt:0005747,1.0
WBGene00016960,reproductive system WBbt:0005747,1.0
WBGene00000250,reproductive system WBbt:0005747,1.0
WBGene00012769,reproductive system WBbt:0005747,1.0
WBGene00005019,reproductive system WBbt:0005747,1.0
WBGene00007643,reproductive system WBbt:0005747,1.0
WBGene00003421,reproductive system WBbt:0005747,1.0
WBGene00010748,reproductive system WBbt:0005747,1.0
WBGene00012182,reproductive system WBbt:0005747,1.0
WBGene00000411,reproductive system WBbt:0005747,1.0
WBGene00018806,reproductive system WBbt:0005747,1.0
WBGene00010314,reproductive system WBbt:0005747,1.0
WBGene00015329,reproductive system WBbt:0005747,1.0
WBGene00003619,reproductive system WBbt:0005747,1.0
WBGene00018420,reproductive system WBbt:0005747,1.0
WBGene00010232,reproductive system WBbt:0005747,1.0
WBGene00007167,reproductive system WBbt:0005747,1.0
WBGene00003252,reproductive system WBbt:0005747,1.0
WBGene00010810,reproductive system WBbt:0005747,1.0
WBGene00044329,reproductive system WBbt:0005747,1.0
WBGene00018833,reproductive system WBbt:0005747,1.0
WBGene00023451,reproductive system WBbt:0005747,1.0
WBGene00086551,reproductive system WBbt:0005747,1.0
WBGene00006861,reproductive system WBbt:0005747,1.0
WBGene00002034,reproductive system WBbt:0005747,1.0
WBGene00018948,reproductive system WBbt:0005747,1.0
WBGene00003414,reproductive system WBbt:0005747,1.0
WBGene00021649,reproductive system WBbt:0005747,1.0
WBGene00010839,reproductive system WBbt:0005747,1.0
WBGene00019400,reproductive system WBbt:0005747,1.0
WBGene00009944,reproductive system WBbt:0005747,1.0
WBGene00009554,reproductive system WBbt:0005747,1.0
WBGene00001514,reproductive system WBbt:0005747,1.0
WBGene00008641,reproductive system WBbt:0005747,1.0
WBGene00011746,reproductive system WBbt:0005747,1.0
WBGene00003802,reproductive system WBbt:0005747,1.0
WBGene00003976,reproductive system WBbt:0005747,1.0
WBGene00022060,reproductive system WBbt:0005747,1.0
WBGene00010885,reproductive system WBbt:0005747,1.0
WBGene00016074,reproductive system WBbt:0005747,1.0
WBGene00007621,reproductive system WBbt:0005747,1.0
WBGene00003987,reproductive system WBbt:0005747,1.0
WBGene00021132,reproductive system WBbt:0005747,1.0
WBGene00019636,reproductive system WBbt:0005747,1.0
WBGene00013214,reproductive system WBbt:0005747,1.0
WBGene00017316,reproductive system WBbt:0005747,1.0
WBGene00001413,reproductive system WBbt:0005747,1.0
WBGene00015698,reproductive system WBbt:0005747,1.0
WBGene00007603,reproductive system WBbt:0005747,1.0
WBGene00011415,reproductive system WBbt:0005747,1.0
WBGene00010084,reproductive system WBbt:0005747,1.0
WBGene00021512,reproductive system WBbt:0005747,1.0
WBGene00007744,reproductive system WBbt:0005747,1.0
WBGene00003037,reproductive system WBbt:0005747,1.0
WBGene00009594,reproductive system WBbt:0005747,1.0
WBGene00003228,reproductive system WBbt:0005747,1.0
WBGene00009286,reproductive system WBbt:0005747,1.0
WBGene00007391,reproductive system WBbt:0005747,1.0
WBGene00018845,reproductive system WBbt:0005747,1.0
WBGene00001372,reproductive system WBbt:0005747,1.0
WBGene00006618,reproductive system WBbt:0005747,1.0
WBGene00007761,reproductive system WBbt:0005747,1.0
WBGene00016947,reproductive system WBbt:0005747,1.0
WBGene00016970,reproductive system WBbt:0005747,1.0
WBGene00020999,reproductive system WBbt:0005747,1.0
WBGene00009124,reproductive system WBbt:0005747,1.0
WBGene00015189,reproductive system WBbt:0005747,1.0
WBGene00015497,reproductive system WBbt:0005747,1.0
WBGene00015002,reproductive system WBbt:0005747,1.0
WBGene00016564,reproductive system WBbt:0005747,1.0
WBGene00020094,reproductive system WBbt:0005747,1.0
WBGene00021056,reproductive system WBbt:0005747,1.0
WBGene00002136,reproductive system WBbt:0005747,1.0
WBGene00018016,reproductive system WBbt:0005747,1.0
WBGene00022831,reproductive system WBbt:0005747,1.0
WBGene00020910,reproductive system WBbt:0005747,1.0
WBGene00013202,reproductive system WBbt:0005747,1.0
WBGene00011352,reproductive system WBbt:0005747,1.0
WBGene00008218,reproductive system WBbt:0005747,1.0
WBGene00012209,reproductive system WBbt:0005747,1.0
WBGene00017583,reproductive system WBbt:0005747,1.0
WBGene00013461,reproductive system WBbt:0005747,1.0
WBGene00000227,reproductive system WBbt:0005747,1.0
WBGene00012164,reproductive system WBbt:0005747,1.0
WBGene00009897,reproductive system WBbt:0005747,1.0
WBGene00004049,reproductive system WBbt:0005747,1.0
WBGene00013578,reproductive system WBbt:0005747,1.0
WBGene00007332,reproductive system WBbt:0005747,1.0
WBGene00013679,reproductive system WBbt:0005747,1.0
WBGene00020827,reproductive system WBbt:0005747,1.0
WBGene00011329,reproductive system WBbt:0005747,1.0
WBGene00003793,reproductive system WBbt:0005747,1.0
WBGene00007171,reproductive system WBbt:0005747,1.0
WBGene00008143,reproductive system WBbt:0005747,1.0
WBGene00003499,reproductive system WBbt:0005747,1.0
WBGene00020896,reproductive system WBbt:0005747,1.0
WBGene00010661,reproductive system WBbt:0005747,1.0
WBGene00011501,reproductive system WBbt:0005747,1.0
WBGene00013432,reproductive system WBbt:0005747,1.0
WBGene00011312,reproductive system WBbt:0005747,1.0
WBGene00044462,reproductive system WBbt:0005747,1.0
WBGene00015899,reproductive system WBbt:0005747,1.0
WBGene00004298,reproductive system WBbt:0005747,1.0
WBGene00015073,reproductive system WBbt:0005747,1.0
