wbid,term,found
WBGene00000868,germ cell compartment small WBPhenotype:0001974,1.0
WBGene00003793,germ cell compartment small WBPhenotype:0001974,1.0
WBGene00003026,germ cell compartment small WBPhenotype:0001974,1.0
WBGene00001595,germ cell compartment small WBPhenotype:0001974,1.0
WBGene00002136,germ cell compartment small WBPhenotype:0001974,1.0
WBGene00077732,germ cell compartment small WBPhenotype:0001974,1.0
WBGene00006379,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00000868,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00021470,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00009385,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00001860,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00044067,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00044329,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00011560,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00011747,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00012650,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00010609,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00002850,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00004888,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00003155,male somatic gonad development variant WBPhenotype:0002188,1.0
WBGene00004339,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00003150,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00002985,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00000868,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00000411,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00011409,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00018016,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00008645,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00000875,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00010609,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00004874,ectopic cleavage furrow early emb WBPhenotype:0002501,1.0
WBGene00012769,sterile F1 WBPhenotype:0001036,1.0
WBGene00001597,sterile F1 WBPhenotype:0001036,1.0
WBGene00010810,sterile F1 WBPhenotype:0001036,1.0
WBGene00004702,sterile F1 WBPhenotype:0001036,1.0
WBGene00022310,sterile F1 WBPhenotype:0001036,1.0
WBGene00001595,sterile F1 WBPhenotype:0001036,1.0
WBGene00003161,sterile F1 WBPhenotype:0001036,1.0
WBGene00003229,P granule abnormal WBPhenotype:0001301,1.0
WBGene00008968,P granule abnormal WBPhenotype:0001301,1.0
WBGene00003150,P granule abnormal WBPhenotype:0001301,1.0
WBGene00003793,P granule abnormal WBPhenotype:0001301,1.0
WBGene00003919,P granule abnormal WBPhenotype:0001301,1.0
WBGene00003183,P granule abnormal WBPhenotype:0001301,1.0
WBGene00003228,P granule abnormal WBPhenotype:0001301,1.0
WBGene00021922,P granule abnormal WBPhenotype:0001301,1.0
WBGene00004027,P granule abnormal WBPhenotype:0001301,1.0
WBGene00004339,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00006988,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00006944,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00002985,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00000868,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00003159,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00013443,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00011409,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00018016,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00008645,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00003919,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00003183,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00002073,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00010609,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00003155,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00004874,cell cycle defective early emb WBPhenotype:0001114,1.0
WBGene00003229,epithelial development variant WBPhenotype:0000701,1.0
WBGene00006379,epithelial development variant WBPhenotype:0000701,1.0
WBGene00003150,epithelial development variant WBPhenotype:0000701,1.0
WBGene00002297,epithelial development variant WBPhenotype:0000701,1.0
WBGene00001860,epithelial development variant WBPhenotype:0000701,1.0
WBGene00003026,epithelial development variant WBPhenotype:0000701,1.0
WBGene00004984,epithelial development variant WBPhenotype:0000701,1.0
WBGene00003161,epithelial development variant WBPhenotype:0000701,1.0
WBGene00006988,gonad development variant WBPhenotype:0000691,1.0
WBGene00006379,gonad development variant WBPhenotype:0000691,1.0
WBGene00002992,gonad development variant WBPhenotype:0000691,1.0
WBGene00001597,gonad development variant WBPhenotype:0000691,1.0
WBGene00011501,gonad development variant WBPhenotype:0000691,1.0
WBGene00000868,gonad development variant WBPhenotype:0000691,1.0
WBGene00021470,gonad development variant WBPhenotype:0000691,1.0
WBGene00003021,gonad development variant WBPhenotype:0000691,1.0
WBGene00016955,gonad development variant WBPhenotype:0000691,1.0
WBGene00002297,gonad development variant WBPhenotype:0000691,1.0
WBGene00009385,gonad development variant WBPhenotype:0000691,1.0
WBGene00006428,gonad development variant WBPhenotype:0000691,1.0
WBGene00001860,gonad development variant WBPhenotype:0000691,1.0
WBGene00003026,gonad development variant WBPhenotype:0000691,1.0
WBGene00044067,gonad development variant WBPhenotype:0000691,1.0
WBGene00044329,gonad development variant WBPhenotype:0000691,1.0
WBGene00009372,gonad development variant WBPhenotype:0000691,1.0
WBGene00011560,gonad development variant WBPhenotype:0000691,1.0
WBGene00077732,gonad development variant WBPhenotype:0000691,1.0
WBGene00003981,gonad development variant WBPhenotype:0000691,1.0
WBGene00011747,gonad development variant WBPhenotype:0000691,1.0
WBGene00016291,gonad development variant WBPhenotype:0000691,1.0
WBGene00012650,gonad development variant WBPhenotype:0000691,1.0
WBGene00000875,gonad development variant WBPhenotype:0000691,1.0
WBGene00011460,gonad development variant WBPhenotype:0000691,1.0
WBGene00001061,gonad development variant WBPhenotype:0000691,1.0
WBGene00010609,gonad development variant WBPhenotype:0000691,1.0
WBGene00008682,gonad development variant WBPhenotype:0000691,1.0
WBGene00020910,gonad development variant WBPhenotype:0000691,1.0
WBGene00011350,gonad development variant WBPhenotype:0000691,1.0
WBGene00002004,gonad development variant WBPhenotype:0000691,1.0
WBGene00001161,gonad development variant WBPhenotype:0000691,1.0
WBGene00003164,gonad development variant WBPhenotype:0000691,1.0
WBGene00003161,gonad development variant WBPhenotype:0000691,1.0
WBGene00011325,gonad development variant WBPhenotype:0000691,1.0
WBGene00001653,gonad development variant WBPhenotype:0000691,1.0
WBGene00002850,gonad development variant WBPhenotype:0000691,1.0
WBGene00004888,gonad development variant WBPhenotype:0000691,1.0
WBGene00003155,gonad development variant WBPhenotype:0000691,1.0
WBGene00004339,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00003150,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00002985,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00000868,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00000411,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00011409,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00018016,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00008645,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00003183,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00002073,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00010609,cytoplasmic dynamics defective early emb WBPhenotype:0001079,1.0
WBGene00011376,cell death variant WBPhenotype:0000729,1.0
WBGene00012360,cell death variant WBPhenotype:0000729,1.0
WBGene00006379,cell death variant WBPhenotype:0000729,1.0
WBGene00020094,cell death variant WBPhenotype:0000729,1.0
WBGene00012484,cell death variant WBPhenotype:0000729,1.0
WBGene00015591,cell death variant WBPhenotype:0000729,1.0
WBGene00011834,cell death variant WBPhenotype:0000729,1.0
WBGene00001597,cell death variant WBPhenotype:0000729,1.0
WBGene00011501,cell death variant WBPhenotype:0000729,1.0
WBGene00006944,cell death variant WBPhenotype:0000729,1.0
WBGene00015146,cell death variant WBPhenotype:0000729,1.0
WBGene00021470,cell death variant WBPhenotype:0000729,1.0
WBGene00016955,cell death variant WBPhenotype:0000729,1.0
WBGene00000772,cell death variant WBPhenotype:0000729,1.0
WBGene00000411,cell death variant WBPhenotype:0000729,1.0
WBGene00002297,cell death variant WBPhenotype:0000729,1.0
WBGene00011409,cell death variant WBPhenotype:0000729,1.0
WBGene00006428,cell death variant WBPhenotype:0000729,1.0
WBGene00011312,cell death variant WBPhenotype:0000729,1.0
WBGene00001998,cell death variant WBPhenotype:0000729,1.0
WBGene00003793,cell death variant WBPhenotype:0000729,1.0
WBGene00003026,cell death variant WBPhenotype:0000729,1.0
WBGene00003405,cell death variant WBPhenotype:0000729,1.0
WBGene00003185,cell death variant WBPhenotype:0000729,1.0
WBGene00004298,cell death variant WBPhenotype:0000729,1.0
WBGene00009006,cell death variant WBPhenotype:0000729,1.0
WBGene00002043,cell death variant WBPhenotype:0000729,1.0
WBGene00007433,cell death variant WBPhenotype:0000729,1.0
WBGene00009159,cell death variant WBPhenotype:0000729,1.0
WBGene00000496,cell death variant WBPhenotype:0000729,1.0
WBGene00021012,cell death variant WBPhenotype:0000729,1.0
WBGene00000846,cell death variant WBPhenotype:0000729,1.0
WBGene00001595,cell death variant WBPhenotype:0000729,1.0
WBGene00001029,cell death variant WBPhenotype:0000729,1.0
WBGene00002136,cell death variant WBPhenotype:0000729,1.0
WBGene00077732,cell death variant WBPhenotype:0000729,1.0
WBGene00003497,cell death variant WBPhenotype:0000729,1.0
WBGene00003981,cell death variant WBPhenotype:0000729,1.0
WBGene00010661,cell death variant WBPhenotype:0000729,1.0
WBGene00007171,cell death variant WBPhenotype:0000729,1.0
WBGene00000875,cell death variant WBPhenotype:0000729,1.0
WBGene00019646,cell death variant WBPhenotype:0000729,1.0
WBGene00009594,cell death variant WBPhenotype:0000729,1.0
WBGene00008641,cell death variant WBPhenotype:0000729,1.0
WBGene00018321,cell death variant WBPhenotype:0000729,1.0
WBGene00000797,cell death variant WBPhenotype:0000729,1.0
WBGene00021922,cell death variant WBPhenotype:0000729,1.0
WBGene00010609,cell death variant WBPhenotype:0000729,1.0
WBGene00004296,cell death variant WBPhenotype:0000729,1.0
WBGene00011350,cell death variant WBPhenotype:0000729,1.0
WBGene00001161,cell death variant WBPhenotype:0000729,1.0
WBGene00015768,cell death variant WBPhenotype:0000729,1.0
WBGene00011325,cell death variant WBPhenotype:0000729,1.0
WBGene00000469,cell death variant WBPhenotype:0000729,1.0
WBGene00000227,cell death variant WBPhenotype:0000729,1.0
WBGene00000417,cell death variant WBPhenotype:0000729,1.0
WBGene00001413,cell death variant WBPhenotype:0000729,1.0
WBGene00001832,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00003150,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00002985,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00000868,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00003159,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00009385,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00008645,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00003183,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00044329,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00000875,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00010609,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00003155,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00004874,multiple nuclei early emb WBPhenotype:0001143,1.0
WBGene00001832,nuclear division variant WBPhenotype:0000504,1.0
WBGene00003150,nuclear division variant WBPhenotype:0000504,1.0
WBGene00002985,nuclear division variant WBPhenotype:0000504,1.0
WBGene00003037,nuclear division variant WBPhenotype:0000504,1.0
WBGene00000868,nuclear division variant WBPhenotype:0000504,1.0
WBGene00003021,nuclear division variant WBPhenotype:0000504,1.0
WBGene00003159,nuclear division variant WBPhenotype:0000504,1.0
WBGene00002297,nuclear division variant WBPhenotype:0000504,1.0
WBGene00013443,nuclear division variant WBPhenotype:0000504,1.0
WBGene00009385,nuclear division variant WBPhenotype:0000504,1.0
WBGene00008645,nuclear division variant WBPhenotype:0000504,1.0
WBGene00003026,nuclear division variant WBPhenotype:0000504,1.0
WBGene00003183,nuclear division variant WBPhenotype:0000504,1.0
WBGene00044329,nuclear division variant WBPhenotype:0000504,1.0
WBGene00077732,nuclear division variant WBPhenotype:0000504,1.0
