baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2L52.1	139.315668595538	0.426650514177927	0.136095549491686	3.13493362399768	0.00171893000340804	0.00322465004843961
4R79.2	24.1313762898686	0.322166596524143	0.350970789637651	0.917929941852865	0.358655544859242	0.421290431587623
aagr-1	662.650768375568	-1.60998347920077	0.198047566863199	-8.12927674245481	4.31859356737565e-16	3.20690013311085e-15
aagr-2	2336.12822723247	-1.28387566256795	0.13961663256657	-9.19572144784251	3.72486555679739e-20	3.8278176950275e-19
aagr-3	3420.41241682019	-0.636803616363063	0.131619584831096	-4.83821322776742	1.3101155029029e-06	3.74698632614431e-06
aagr-4	2673.81333410698	-0.670091936742042	0.208034740641998	-3.22105786117323	0.00127718360023227	0.00244783998412156
aak-1	464.188188863902	-0.610149003318806	0.223317340555588	-2.73220611440573	0.00629117698966686	0.0108096795900759
aak-2	708.64482214263	0.149329766565391	0.123208089640375	1.21201267709987	0.225507527978391	0.279332959845172
aakb-1	226.900150002241	1.00025304545549	0.132930179634865	7.52464976879592	5.28618283367058e-14	3.24009420623609e-13
aakb-2	527.267030538121	1.16883094471707	0.138156311112867	8.46020666954689	2.66904088013178e-17	2.18002210102601e-16
aakg-1	647.422767374124	-0.216108721936993	0.180234004673429	-1.19904522084257	0.230510362488868	0.28485919925341
aakg-2	244.232203013879	-0.110996334534277	0.124046667151269	-0.894794975820852	0.370896696573581	0.434240304713526
aakg-3	57.5615052466699	2.11235462423631	0.244006783084507	8.65695042381153	4.84553320679973e-18	4.23358631422734e-17
aakg-4	151.481836268757	1.08144235042649	0.236370166398431	4.57520662148025	4.75750219237023e-06	1.27072420743079e-05
aakg-5	417.503926441436	-1.30945121715027	0.159162844307984	-8.22711621448818	1.9177437852072e-16	1.46994992498201e-15
aap-1	579.913976443698	-0.808019205588463	0.120459999878482	-6.70778022915141	1.97607234500415e-11	9.54433138038089e-11
aars-1	303.041494696966	-0.811254442314737	0.0927054870502957	-8.75087837977277	2.11698430213282e-18	1.91296775588508e-17
aars-2	2783.07964230508	-1.0694862193279	0.150743283394747	-7.09475205291412	1.29583599213559e-12	7.01507169048933e-12
aass-1	2302.52402238521	-0.398949612407311	0.210683007192478	-1.89360128148747	0.0582779532960959	0.0831942839480862
aat-2	487.252686651052	2.93447130730827	0.275161568458145	10.6645391060658	1.49136613009305e-26	2.57573363242522e-25
aat-5	139.607939961774	2.36705934177569	0.245977813100009	9.62306035631476	6.39010938497543e-22	7.66240663990112e-21
aat-6	182.076840915202	0.197167906844009	0.239900973921509	0.821872056711694	0.411149718047957	0.474512378632236
aat-7	35.605591167748	3.64110616648696	0.398949158439802	9.12674231655603	7.05914883113939e-20	7.13107223432458e-19
aat-8	20.0293378380195	1.83471184776458	0.325980434802153	5.6282882402992	1.82006764625911e-08	6.54881866805867e-08
aatf-1	279.510170692133	0.925713616067961	0.121287445331993	7.63239437960014	2.30433228167233e-14	1.46924197478138e-13
abce-1	1456.78873038825	-0.719388581059922	0.101383581147948	-7.0957108923794	1.28688248591483e-12	6.97365266152629e-12
