PC1	PC2	group	Species	Stage	name
-94.2958204572119	-25.1128705776115	inopinata:L3	inopinata	L3	1
-83.6247536888519	-22.7948113094911	inopinata:L3	inopinata	L3	2
-89.5995417179928	-25.022148247123	inopinata:L3	inopinata	L3	3
-95.8387778600489	-20.6008518332523	inopinata:L3	inopinata	L3	4
-96.0178995600641	-20.7685387783631	inopinata:L3	inopinata	L3	5
2.53521648808201	-58.3750297221304	inopinata:L4	inopinata	L4	6
7.93419192590219	-61.6093587497448	inopinata:L4	inopinata	L4	7
-15.0919756589972	-53.8217000137748	inopinata:L4	inopinata	L4	8
10.4440678853237	-58.8887968158191	inopinata:L4	inopinata	L4	9
84.2589596756035	-60.0517620677789	inopinata:adult	inopinata	adult	10
75.7499509431415	-53.1347742671419	inopinata:adult	inopinata	adult	11
56.9552264049638	-70.5965171512519	inopinata:adult	inopinata	adult	12
88.2286824330584	-61.0255549476211	inopinata:adult	inopinata	adult	13
86.7453054412861	-57.0405369268625	inopinata:adult	inopinata	adult	14
-80.8363883646185	48.5764751705629	elegans:L3	elegans	L3	15
-80.3571667604434	45.5285672257355	elegans:L3	elegans	L3	16
-81.5916997841801	47.5251196775205	elegans:L3	elegans	L3	17
-63.4139886035944	38.2676934530571	elegans:L3	elegans	L3	18
-59.768052537341	31.18746581591	elegans:L4	elegans	L4	19
-34.8600674837846	33.0872654553199	elegans:L4	elegans	L4	20
-2.10151033653192	38.1919537366751	elegans:L4	elegans	L4	21
-34.3008329301401	34.0293491933697	elegans:L4	elegans	L4	22
-49.3168679925401	31.0427947361938	elegans:L4	elegans	L4	23
114.507331436904	62.9760356103623	elegans:adult	elegans	adult	24
111.339796000433	63.4079811070339	elegans:adult	elegans	adult	25
104.591901110283	55.7503773766927	elegans:adult	elegans	adult	26
110.585955445549	57.2944486413134	elegans:adult	elegans	adult	27
107.13875854581	61.9777242082203	elegans:adult	elegans	adult	28
