strain	species	day	length
NKZ1	C. inopinata	1	192.9304254
NKZ1	C. inopinata	1	371.2486656
NKZ1	C. inopinata	1	337.0822434
NKZ1	C. inopinata	1	262.3001298
NKZ1	C. inopinata	1	278.4430974
NKZ1	C. inopinata	1	324.4306662
NKZ1	C. inopinata	1	323.6633898
NKZ1	C. inopinata	1	343.3335666
NKZ1	C. inopinata	1	341.4134904
NKZ1	C. inopinata	1	324.2798502
NKZ1	C. inopinata	1	289.2066468
NKZ1	C. inopinata	1	318.9042024
NKZ1	C. inopinata	1	309.983436
NKZ1	C. inopinata	1	339.444399
NKZ1	C. inopinata	1	357.9740298
NKZ1	C. inopinata	1	333.2665986
NKZ1	C. inopinata	1	348.5008998
NKZ1	C. inopinata	1	381.394812
NKZ1	C. inopinata	1	417.185334
NKZ1	C. inopinata	1	441.0067212
NKZ1	C. inopinata	1	359.9713992
NKZ1	C. inopinata	1	425.0645274
NKZ1	C. inopinata	1	455.299365
NKZ1	C. inopinata	1	413.386656
NKZ1	C. inopinata	1	424.7996568
NKZ1	C. inopinata	1	473.9703858
NKZ1	C. inopinata	1	398.9611056
NKZ1	C. inopinata	1	362.4372408
NKZ1	C. inopinata	1	365.0812338
NKZ1	C. inopinata	1	476.5106928
NKZ1	C. inopinata	1	442.2943128
NKZ1	C. inopinata	1	445.6216908
NKZ1	C. inopinata	1	326.945523
NKZ1	C. inopinata	1	339.123915
NKZ1	C. inopinata	1	397.7385534
NKZ1	C. inopinata	1	388.002438
NKZ1	C. inopinata	1	375.7740882
NKZ1	C. inopinata	1	429.3929466
NKZ1	C. inopinata	1	348.017346
NKZ1	C. inopinata	1	395.123781
NKZ1	C. inopinata	1	444.770523
NKZ1	C. inopinata	2	485.2891266
NKZ1	C. inopinata	2	528.1265262
NKZ1	C. inopinata	2	628.2042534
NKZ1	C. inopinata	2	551.5878402
NKZ1	C. inopinata	2	603.3846528
NKZ1	C. inopinata	2	546.1179324
NKZ1	C. inopinata	2	458.3430204
NKZ1	C. inopinata	2	433.3810872
NKZ1	C. inopinata	2	605.493249
NKZ1	C. inopinata	2	545.9435514
NKZ1	C. inopinata	2	477.99246
NKZ1	C. inopinata	2	588.1720314
NKZ1	C. inopinata	2	547.2009798
NKZ1	C. inopinata	2	459.2186958
NKZ1	C. inopinata	2	580.9036428
NKZ1	C. inopinata	2	550.0947618
NKZ1	C. inopinata	2	603.4751424
NKZ1	C. inopinata	2	632.4082494
NKZ1	C. inopinata	2	516.6522564
NKZ1	C. inopinata	2	565.1952138
NKZ1	C. inopinata	2	572.0139822
NKZ1	C. inopinata	2	730.9872426
NKZ1	C. inopinata	2	599.9385072
NKZ1	C. inopinata	2	937.2215244
NKZ1	C. inopinata	2	651.614667
NKZ1	C. inopinata	2	646.6999506
NKZ1	C. inopinata	2	721.6837806
NKZ1	C. inopinata	2	769.5593772
NKZ1	C. inopinata	2	525.230859
NKZ1	C. inopinata	2	612.0989898
NKZ1	C. inopinata	2	611.7549408
NKZ1	C. inopinata	2	885.8667912
NKZ1	C. inopinata	2	519.5111622
NKZ1	C. inopinata	2	612.0471468
NKZ1	C. inopinata	2	744.550314
NKZ1	C. inopinata	2	612.8804052
NKZ1	C. inopinata	2	710.01345
NKZ1	C. inopinata	2	837.5340336
NKZ1	C. inopinata	3	426.3181854
NKZ1	C. inopinata	3	914.2079454
NKZ1	C. inopinata	3	895.1033286
NKZ1	C. inopinata	3	443.16339
NKZ1	C. inopinata	3	698.5344672
NKZ1	C. inopinata	3	673.360449
NKZ1	C. inopinata	3	919.0378278
NKZ1	C. inopinata	3	933.343668
NKZ1	C. inopinata	3	898.660701
NKZ1	C. inopinata	3	925.8188922
NKZ1	C. inopinata	3	799.9553994
NKZ1	C. inopinata	3	872.7382584
NKZ1	C. inopinata	3	915.1731678
NKZ1	C. inopinata	3	1033.06415
NKZ1	C. inopinata	3	850.2431094
NKZ1	C. inopinata	3	1002.854762
NKZ1	C. inopinata	3	962.3031678
NKZ1	C. inopinata	3	1023.421352
NKZ1	C. inopinata	3	1022.123392
NKZ1	C. inopinata	3	1015.318762
NKZ1	C. inopinata	3	772.2325908
NKZ1	C. inopinata	3	842.2526892
NKZ1	C. inopinata	3	1003.026316
NKZ1	C. inopinata	3	1119.502455
NKZ1	C. inopinata	3	967.9644234
NKZ1	C. inopinata	3	855.8798574
NKZ1	C. inopinata	3	1114.612246
NKZ1	C. inopinata	3	987.2330526
NKZ1	C. inopinata	3	1029.926234
NKZ1	C. inopinata	3	1010.831986
NKZ1	C. inopinata	3	1207.060569
NKZ1	C. inopinata	3	985.662681
NKZ1	C. inopinata	3	977.956926
NKZ1	C. inopinata	3	1051.244076
NKZ1	C. inopinata	3	1046.795947
NKZ1	C. inopinata	3	943.9168122
NKZ1	C. inopinata	4	1638.033313
NKZ1	C. inopinata	4	1535.097623
NKZ1	C. inopinata	4	1545.385159
NKZ1	C. inopinata	4	1315.923328
NKZ1	C. inopinata	4	1057.592487
NKZ1	C. inopinata	4	1534.221947
NKZ1	C. inopinata	4	1735.295494
NKZ1	C. inopinata	4	1520.821003
NKZ1	C. inopinata	4	1574.56994
NKZ1	C. inopinata	4	1513.62708
NKZ1	C. inopinata	4	1608.547843
NKZ1	C. inopinata	4	1642.652996
NKZ1	C. inopinata	4	1553.617828
NKZ1	C. inopinata	4	1671.332543
NKZ1	C. inopinata	4	1649.59336
NKZ1	C. inopinata	4	1553.525453
NKZ1	C. inopinata	4	1449.337047
NKZ1	C. inopinata	4	1758.378826
NKZ1	C. inopinata	4	1567.415606
NKZ1	C. inopinata	4	1637.5064
NKZ1	C. inopinata	5	1744.455681
NKZ1	C. inopinata	5	1316.563354
NKZ1	C. inopinata	5	1686.646023
NKZ1	C. inopinata	5	1666.522456
NKZ1	C. inopinata	5	1416.067037
NKZ1	C. inopinata	5	1573.041043
NKZ1	C. inopinata	5	1473.723994
NKZ1	C. inopinata	5	1709.647348
NKZ1	C. inopinata	5	1868.243569
NKZ1	C. inopinata	5	1671.583275
NKZ1	C. inopinata	5	1392.127825
NKZ1	C. inopinata	5	1564.488833
NKZ1	C. inopinata	5	1588.702342
NKZ1	C. inopinata	5	1685.963581
NKZ1	C. inopinata	5	1534.586734
NKZ1	C. inopinata	5	1436.797639
NKZ1	C. inopinata	5	1451.677523
NKZ1	C. inopinata	5	1457.618731
NKZ1	C. inopinata	5	1528.352377
NKZ1	C. inopinata	5	1440.617997
NKZ1	C. inopinata	5	1022.74645
NKZ1	C. inopinata	5	1276.599941
NKZ1	C. inopinata	5	1458.248387
NKZ1	C. inopinata	5	1423.46739
NKZ1	C. inopinata	5	1346.791593
NKZ1	C. inopinata	5	1398.762787
NKZ1	C. inopinata	5	1318.030982
NKZ1	C. inopinata	5	1374.209942
