sample_id	Tube	Species	Strain	Stage	Replicate	Date_worms_isolated	Date_RNA_prepared	Num_stage
sample_1	Tube 1	inopinata	NKZ2	L3	replicate 1	June_20_2018	Sept_24_2019	1
sample_2	Tube 2	inopinata	NKZ2	L3	replicate 2	June_20_2018	Oct_10_2019	1
sample_3	Tube 3	inopinata	NKZ2	L3	replicate 3	June_20_2018	Oct_14_2019	1
sample_4	Tube 4	inopinata	NKZ2	L3	replicate 4	June_20_2018	Oct_16_2019	1
sample_5	Tube 5	inopinata	NKZ2	L3	replicate 5	June_20_2018	Oct_17_2019	1
sample_6	Tube 6	inopinata	NKZ2	L4	replicate 1	June_21_2018	Oct_16_2019	2
sample_7	Tube 7	inopinata	NKZ2	L4	replicate 2	June_21_2018	Sept_24_2019	2
sample_9	Tube 9	inopinata	NKZ2	L4	replicate 4	June_21_2018	Oct_14_2019	2
sample_10	Tube 10	inopinata	NKZ2	L4	replicate 5	June_21_2018	Oct_10_2019	2
sample_11	Tube 11	inopinata	NKZ2	adult	replicate 1	June_22_2018	Oct_14_2019	3
sample_12	Tube 12	inopinata	NKZ2	adult	replicate 2	June_22_2018	Oct_16_2019	3
sample_13	Tube 13	inopinata	NKZ2	adult	replicate 3	June_22_2018	Sept_24_2019	3
sample_14	Tube 14	inopinata	NKZ2	adult	replicate 4	June_23_2018	Oct_17_2019	3
sample_15	Tube 15	inopinata	NKZ2	adult	replicate 5	June_22_2018	Oct_10_2019	3
sample_17	Tube 17	elegans	JK574	L3	replicate 2	June_19_2018	Oct_14_2019	1
sample_18	Tube 18	elegans	JK574	L3	replicate 3	June_19_2018	Oct_16_2019	1
sample_19	Tube 19	elegans	JK574	L3	replicate 4	June_19_2018	Sept_24_2019	1
sample_20	Tube 20	elegans	JK574	L3	replicate 5	June_19_2018	Oct_10_2019	1
sample_21	Tube 21	elegans	JK574	L4	replicate 1	June_20_2018	Oct_10_2019	2
sample_22	Tube 22	elegans	JK574	L4	replicate 2	June_20_2018	Oct_14_2019	2
sample_23	Tube 23	elegans	JK574	L4	replicate 3	June_20_2018	Oct_14_2019	2
sample_24	Tube 24	elegans	JK574	L4	replicate 4	June_20_2018	Oct_16_2019	2
sample_25	Tube 25	elegans	JK574	L4	replicate 5	June_20_2018	Sept_24_2019	2
sample_26	Tube 26	elegans	JK574	adult	replicate 1	June_20_2018	Sept_24_2019	3
sample_27	Tube 27	elegans	JK574	adult	replicate 2	June_20_2018	Oct_10_2019	3
sample_28	Tube 28	elegans	JK574	adult	replicate 3	June_20_2018	Oct_16_2019	3
sample_29	Tube 29	elegans	JK574	adult	replicate 4	June_20_2018	Oct_17_2019	3
sample_30	Tube 30	elegans	JK574	adult	replicate 5	June_20_2018	Oct_14_2019	3
