TXNAME	GENEID
aap-1	aap-1
aat-2	aat-2
aat-5	aat-5
aat-6	aat-6
aat-7	aat-7
aat-8	aat-8
abf-5	abf-5
abf-6	abf-6
abl-1	abl-1
abt-1	abt-1
abt-2	abt-2
abt-4	abt-4
abu-10	abu-10
abu-11	abu-11
ace-1	ace-1
ace-2	ace-2
ace-3	ace-3
ace-4	ace-4
acn-1	acn-1
aco-1	aco-1
aco-2	aco-2
acr-2	acr-2
acr-3	acr-3
acr-5	acr-5
acr-6	acr-6
acr-7	acr-7
acr-8	acr-8
acr-9	acr-9
acr-10	acr-10
acr-11	acr-11
acr-12	acr-12
acr-14	acr-14
acr-15	acr-15
acr-16	acr-16
acr-17	acr-17
acr-18	acr-18
acr-19	acr-19
acr-20	acr-20
acr-23	acr-23
acy-1	acy-1
acy-2	acy-2
acy-3	acy-3
acy-4	acy-4
add-1	add-1
add-2	add-2
adm-2	adm-2
adm-4	adm-4
adr-2	adr-2
ads-1	ads-1
adt-1	adt-1
adt-2	adt-2
aex-1	aex-1
aex-2	aex-2
aex-3	aex-3
aex-5	aex-5
aex-6	aex-6
age-1	age-1
ags-3	ags-3
agt-1	agt-1
aha-1	aha-1
ahr-1	ahr-1
aip-1	aip-1
air-1	air-1
air-2	air-2
ajm-1	ajm-1
aka-1	aka-1
alh-3	alh-3
alh-6	alh-6
alh-7	alh-7
alh-8	alh-8
alh-9	alh-9
alh-10	alh-10
alh-12	alh-12
aly-2	aly-2
aly-3	aly-3
ama-1	ama-1
amt-2	amt-2
amt-3	amt-3
amx-1	amx-1
amx-2	amx-2
amx-3	amx-3
aos-1	aos-1
apc-2	apc-2
apc-10	apc-10
apc-11	apc-11
ape-1	ape-1
aph-1	aph-1
aph-2	aph-2
apl-1	apl-1
apm-1	apm-1
apn-1	apn-1
apr-1	apr-1
aps-2	aps-2
apg-1	apg-1
aps-1	aps-1
apb-1	apb-1
apa-2	apa-2
apd-3	apd-3
apb-3	apb-3
apm-3	apm-3
aps-3	aps-3
apt-9	apt-9
aqp-1	aqp-1
aqp-3	aqp-3
aqp-4	aqp-4
aqp-5	aqp-5
aqp-6	aqp-6
aqp-7	aqp-7
aqp-8	aqp-8
aqp-9	aqp-9
aqp-10	aqp-10
aqp-11	aqp-11
arc-1	arc-1
ard-1	ard-1
arf-6	arf-6
ark-1	ark-1
arl-1	arl-1
arl-3	arl-3
arl-5	arl-5
arf-1.1	arf-1.1
arl-8	arl-8
arl-6	arl-6
arr-1	arr-1
aars-1	aars-1
aars-2	aars-2
art-1	art-1
arx-1	arx-1
arx-2	arx-2
arx-3	arx-3
exos-4.2	exos-4.2
arx-5	arx-5
arx-6	arx-6
trip-4	trip-4
asm-1	asm-1
asm-2	asm-2
asm-3	asm-3
asp-2	asp-2
asp-3	asp-3
asp-4	asp-4
atf-2	atf-2
atf-5	atf-5
atf-6	atf-6
atf-7	atf-7
atgp-1	atgp-1
atgp-2	atgp-2
atl-1	atl-1
atm-1	atm-1
atn-1	atn-1
atp-2	atp-2
atp-3	atp-3
atx-2	atx-2
avr-14	avr-14
baf-1	baf-1
bag-1	bag-1
bam-2	bam-2
bar-1	bar-1
pah-1	pah-1
bbs-1	bbs-1
bbs-2	bbs-2
bbs-8	bbs-8
bca-1	bca-1
bcc-1	bcc-1
bec-1	bec-1
bir-1	bir-1
bir-2	bir-2
bli-1	bli-1
bli-2	bli-2
bli-4	bli-4
bli-5	bli-5
bpl-1	bpl-1
F23H11.5	F23H11.5
brd-1	brd-1
bre-2	bre-2
bre-3	bre-3
bre-4	bre-4
bre-5	bre-5
brf-1	brf-1
bro-1	bro-1
brp-1	brp-1
btf-1	btf-1
bub-1	bub-1
byn-1	byn-1
cab-1	cab-1
cah-1	cah-1
cah-2	cah-2
cah-3	cah-3
cah-4	cah-4
cah-5	cah-5
cah-6	cah-6
cal-1	cal-1
cal-2	cal-2
cal-3	cal-3
cal-4	cal-4
cam-1	cam-1
cap-1	cap-1
cap-2	cap-2
cas-1	cas-1
cat-1	cat-1
cat-2	cat-2
cat-4	cat-4
cav-1	cav-1
cav-2	cav-2
cbp-1	cbp-1
cca-1	cca-1
ccb-1	ccb-1
ccf-1	ccf-1
ccg-1	ccg-1
cox-5B	cox-5B
ccr-4	ccr-4
cct-1	cct-1
cct-2	cct-2
cct-4	cct-4
cct-5	cct-5
cct-6	cct-6
cdc-6	cdc-6
cdc-14	cdc-14
cdc-25.4	cdc-25.4
cdc-42	cdc-42
cdd-1	cdd-1
cdd-2	cdd-2
cdf-1	cdf-1
cdh-3	cdh-3
cdh-4	cdh-4
cdh-5	cdh-5
cdh-7	cdh-7
cdh-9	cdh-9
cdh-10	cdh-10
casy-1	casy-1
cdk-1	cdk-1
cdk-4	cdk-4
cdk-5	cdk-5
cdk-7	cdk-7
cdk-8	cdk-8
cdk-9	cdk-9
cdl-1	cdl-1
cdt-1	cdt-1
cec-1	cec-1
ced-1	ced-1
ced-2	ced-2
ced-3	ced-3
ced-4	ced-4
ced-5	ced-5
ced-6	ced-6
ced-7	ced-7
ced-8	ced-8
ced-9	ced-9
ced-11	ced-11
ced-12	ced-12
ceh-1	ceh-1
ceh-2	ceh-2
ceh-6	ceh-6
ceh-7	ceh-7
ceh-8	ceh-8
ceh-12	ceh-12
ceh-13	ceh-13
ceh-14	ceh-14
ceh-16	ceh-16
ceh-17	ceh-17
ceh-18	ceh-18
ceh-19	ceh-19
ceh-20	ceh-20
ceh-22	ceh-22
ceh-23	ceh-23
ceh-24	ceh-24
pros-1	pros-1
ceh-27	ceh-27
ceh-30	ceh-30
ceh-31	ceh-31
ceh-32	ceh-32
ceh-33	ceh-33
ceh-34	ceh-34
ceh-36	ceh-36
ceh-37	ceh-37
ceh-38	ceh-38
ceh-40	ceh-40
ceh-43	ceh-43
ceh-44	ceh-44
cel-1	cel-1
cep-1	cep-1
ces-1	ces-1
ces-2	ces-2
cey-1	cey-1
cey-4	cey-4
cfi-1	cfi-1
cft-1	cft-1
cfz-2	cfz-2
cgp-1	cgp-1
cha-1	cha-1
che-1	che-1
che-2	che-2
che-3	che-3
che-7	che-7
che-11	che-11
che-12	che-12
che-13	che-13
che-14	che-14
chs-1	chs-1
chs-2	chs-2
chn-1	chn-1
cho-1	cho-1
chp-1	chp-1
cht-1	cht-1
cic-1	cic-1
cit-1.1	cit-1.1
cit-1.2	cit-1.2
cka-1	cka-1
cka-2	cka-2
ckc-1	ckc-1
cki-1	cki-1
cki-2	cki-2
ckk-1	ckk-1
cku-70	cku-70
cku-80	cku-80
cky-1	cky-1
clc-1	clc-1
clc-2	clc-2
clc-3	clc-3
clc-4	clc-4
clc-5	clc-5
clh-1	clh-1
clh-2	clh-2
clh-3	clh-3
clh-4	clh-4
clh-5	clh-5
clh-6	clh-6
cpi-2	cpi-2
clk-1	clk-1
clk-2	clk-2
cln-3.1	cln-3.1
cln-3.2	cln-3.2
cln-3.3	cln-3.3
clp-1	clp-1
clp-2	clp-2
clp-4	clp-4
clr-1	clr-1
cls-2	cls-2
clu-1	clu-1
cmd-1	cmd-1
cmk-1	cmk-1
cnb-1	cnb-1
cnd-1	cnd-1
cng-1	cng-1
cng-3	cng-3
cnk-1	cnk-1
cnt-1	cnt-1
cnt-2	cnt-2
cnx-1	cnx-1
cof-2	cof-2
cog-1	cog-1
cogc-2	cogc-2
coh-1	coh-1
col-8	col-8
col-14	col-14
col-19	col-19
col-34	col-34
col-35	col-35
col-36	col-36
col-38	col-38
col-43	col-43
col-45	col-45
col-46	col-46
col-48	col-48
col-49	col-49
col-50	col-50
col-51	col-51
col-54	col-54
col-56	col-56
col-58	col-58
col-60	col-60
col-61	col-61
col-63	col-63
col-64	col-64
col-65	col-65
col-68	col-68
col-69	col-69
col-71	col-71
col-72	col-72
col-74	col-74
col-75	col-75
col-76	col-76
col-81	col-81
col-83	col-83
col-84	col-84
col-86	col-86
col-91	col-91
col-97	col-97
col-98	col-98
col-99	col-99
col-103	col-103
col-104	col-104
col-105	col-105
col-106	col-106
col-109	col-109
col-111	col-111
col-113	col-113
col-114	col-114
col-115	col-115
col-116	col-116
col-118	col-118
col-120	col-120
col-121	col-121
col-123	col-123
col-128	col-128
col-129	col-129
col-130	col-130
col-131	col-131
col-132	col-132
col-139	col-139
col-151	col-151
col-153	col-153
col-158	col-158
col-163	col-163
col-164	col-164
col-165	col-165
col-172	col-172
col-173	col-173
col-174	col-174
col-175	col-175
col-177	col-177
col-181	col-181
col-184	col-184
col-186	col-186
col-187	col-187
coq-1	coq-1
coq-2	coq-2
coq-3	coq-3
coq-4	coq-4
coq-5	coq-5
coq-6	coq-6
coq-8	coq-8
cor-1	cor-1
cpb-1	cpb-1
cpb-2	cpb-2
cpb-3	cpb-3
cpf-1	cpf-1
cpf-2	cpf-2
cpin-1	cpin-1
cpl-1	cpl-1
cpn-1	cpn-1
cpn-2	cpn-2
cpn-3	cpn-3
cpn-4	cpn-4
cpr-6	cpr-6
cps-6	cps-6
cpz-1	cpz-1
cpz-2	cpz-2
crb-1	crb-1
crh-1	crh-1
crn-1	crn-1
crn-2	crn-2
crn-3	crn-3
crn-4	crn-4
crn-5	crn-5
crn-6	crn-6
cars-1	cars-1
crt-1	crt-1
csc-1	csc-1
csk-1	csk-1
csn-1	csn-1
csn-2	csn-2
csn-3	csn-3
csn-4	csn-4
csn-5	csn-5
csn-6	csn-6
csq-1	csq-1
ctn-1	ctn-1
cts-1	cts-1
cua-1	cua-1
cuc-1	cuc-1
cul-2	cul-2
cul-3	cul-3
cul-4	cul-4
cul-5	cul-5
cup-2	cup-2
cup-4	cup-4
cup-5	cup-5
cut-1	cut-1
cut-6	cut-6
cux-7	cux-7
cwn-1	cwn-1
cwn-2	cwn-2
cwp-4	cwp-4
cyb-3	cyb-3
cyc-1	cyc-1
cyd-1	cyd-1
cye-1	cye-1
cyk-1	cyk-1
cyk-3	cyk-3
cyk-4	cyk-4
cyl-1	cyl-1
cyn-1	cyn-1
cyn-4	cyn-4
cyn-8	cyn-8
cyn-9	cyn-9
cyn-10	cyn-10
cyn-11	cyn-11
cyn-12	cyn-12
cyn-13	cyn-13
sig-7	sig-7
cyn-15	cyn-15
cyn-16	cyn-16
cyn-17	cyn-17
dab-1	dab-1
dac-1	dac-1
dad-1	dad-1
daf-1	daf-1
daf-2	daf-2
daf-3	daf-3
daf-4	daf-4
daf-5	daf-5
daf-6	daf-6
daf-7	daf-7
daf-8	daf-8
daf-9	daf-9
daf-10	daf-10
daf-11	daf-11
daf-12	daf-12
daf-14	daf-14
daf-15	daf-15
daf-16	daf-16
daf-19	daf-19
hsp-90	hsp-90
daf-25	daf-25
daf-31	daf-31
dao-2	dao-2
dao-3	dao-3
dao-4	dao-4
dao-5	dao-5
dao-6	dao-6
dap-3	dap-3
dat-1	dat-1
daz-1	daz-1
dbl-1	dbl-1
dbr-1	dbr-1
dcp-66	dcp-66
dcr-1	dcr-1
dcs-1	dcs-1
ddp-1	ddp-1
deb-1	deb-1
deg-1	deg-1
deg-3	deg-3
del-1	del-1
del-2	del-2
des-2	des-2
dgk-1	dgk-1
dgk-2	dgk-2
dgk-3	dgk-3
dgn-1	dgn-1
dhc-1	dhc-1
dhs-1	dhs-1
dhs-2	dhs-2
dhs-3	dhs-3
dhs-4	dhs-4
dhs-5	dhs-5
dhs-6	dhs-6
dhs-9	dhs-9
dhs-11	dhs-11
dhs-13	dhs-13
dhs-15	dhs-15
