2L52.1a	IPR013087	Zinc finger C2H2-type
2RSSE.1b	IPR000198	Rho GTPase-activating protein domain
2RSSE.1b	IPR008936	Rho GTPase activation protein
3R5.1a	IPR012340	Nucleic acid-binding, OB-fold
3R5.1a	IPR032042	Protection of telomeres protein 1, ssDNA-binding domain
4R79.1a	IPR001506	Peptidase M12A
4R79.1a	IPR003582	ShKT domain
4R79.1a	IPR006026	Peptidase, metallopeptidase
4R79.1a	IPR024079	Metallopeptidase, catalytic domain superfamily
4R79.1a	IPR034035	Astacin-like metallopeptidase domain
4R79.2a	IPR001806	Small GTPase
4R79.2a	IPR005225	Small GTP-binding protein domain
4R79.2a	IPR027417	P-loop containing nucleoside triphosphate hydrolase
AC3.10	IPR001594	Palmitoyltransferase, DHHC domain
AC3.12	IPR000472	Activin types I and II receptor domain
AC3.12	IPR045860	Snake toxin-like superfamily
AC3.1a	IPR019429	7TM GPCR, serpentine chemoreceptor class i (Sri)
AC3.2	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
AC3.2	IPR035595	UDP-glycosyltransferase family, conserved site
AC3.5a	IPR014782	Peptidase M1, membrane alanine aminopeptidase
AC3.5a	IPR024571	ERAP1-like C-terminal domain
AC3.5a	IPR027268	Peptidase M4/M1, CTD superfamily
AC3.5a	IPR042097	Aminopeptidase N-like , N-terminal domain superfamliy
AC3.5a	IPR045357	Aminopeptidase N-like , N-terminal domain
AC3.6	IPR002486	Nematode cuticle collagen, N-terminal
AC3.7	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
AC3.8	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
AC7.1a	IPR000276	G protein-coupled receptor, rhodopsin-like
AC7.1a	IPR000611	Neuropeptide Y receptor family
AC7.1a	IPR017452	GPCR, rhodopsin-like, 7TM
AC7.2c	IPR001611	Leucine-rich repeat
AC7.2c	IPR003591	Leucine-rich repeat, typical subtype
AC7.2c	IPR032675	Leucine-rich repeat domain superfamily
AH10.1	IPR000873	AMP-dependent synthetase/ligase domain
AH10.1	IPR020845	AMP-binding, conserved site
AH10.1	IPR025110	AMP-binding enzyme, C-terminal domain
AH10.1	IPR042099	ANL, N-terminal domain
AH10.1	IPR045851	AMP-binding enzyme, C-terminal domain superfamily
AH6.1	IPR000719	Protein kinase domain
