wbid,term,found
WBGene00000731,structural constituent of cuticle GO:0042302,1.0
WBGene00000712,structural constituent of cuticle GO:0042302,1.0
WBGene00000608,structural constituent of cuticle GO:0042302,1.0
WBGene00000703,structural constituent of cuticle GO:0042302,1.0
WBGene00000627,structural constituent of cuticle GO:0042302,1.0
WBGene00000680,structural constituent of cuticle GO:0042302,1.0
WBGene00000597,structural constituent of cuticle GO:0042302,1.0
WBGene00000697,structural constituent of cuticle GO:0042302,1.0
WBGene00000754,structural constituent of cuticle GO:0042302,1.0
WBGene00000726,structural constituent of cuticle GO:0042302,1.0
WBGene00000657,structural constituent of cuticle GO:0042302,1.0
WBGene00013489,structural constituent of cuticle GO:0042302,1.0
WBGene00000757,structural constituent of cuticle GO:0042302,1.0
WBGene00000636,structural constituent of cuticle GO:0042302,1.0
WBGene00000868,regulation of protein metabolic process GO:0051246,1.0
WBGene00001051,regulation of protein metabolic process GO:0051246,1.0
WBGene00010613,regulation of protein metabolic process GO:0051246,1.0
WBGene00003185,regulation of protein metabolic process GO:0051246,1.0
WBGene00009386,regulation of protein metabolic process GO:0051246,1.0
WBGene00013122,regulation of protein metabolic process GO:0051246,1.0
WBGene00003229,regulation of protein metabolic process GO:0051246,1.0
WBGene00000772,regulation of protein metabolic process GO:0051246,1.0
WBGene00001413,regulation of protein metabolic process GO:0051246,1.0
WBGene00003783,regulation of protein metabolic process GO:0051246,1.0
WBGene00004027,regulation of protein metabolic process GO:0051246,1.0
WBGene00000770,regulation of protein metabolic process GO:0051246,1.0
WBGene00004244,regulation of protein metabolic process GO:0051246,1.0
WBGene00019646,regulation of protein metabolic process GO:0051246,1.0
WBGene00003026,regulation of protein metabolic process GO:0051246,1.0
WBGene00016992,regulation of protein metabolic process GO:0051246,1.0
WBGene00021594,regulation of protein metabolic process GO:0051246,1.0
WBGene00021945,regulation of protein metabolic process GO:0051246,1.0
WBGene00016523,regulation of protein metabolic process GO:0051246,1.0
WBGene00009114,regulation of protein metabolic process GO:0051246,1.0
WBGene00004132,regulation of protein metabolic process GO:0051246,1.0
WBGene00022454,regulation of protein metabolic process GO:0051246,1.0
WBGene00003785,regulation of protein metabolic process GO:0051246,1.0
