file,brenneri,briggsae,doughertyi,elegans,inopinata,latens,nigoni,remanei,sinica,sp26,sp40,tropicalis,wallacei,kamaaina
76.fa,7,9,12,22,121,2,1,18,4,4,7,11,9,46
319.fa,13,13,6,20,105,7,2,4,4,3,5,10,13,28
1209.fa,12,4,10,38,88,8,9,4,12,8,6,12,5,32
2760.fa,9,4,4,29,83,1,1,2,10,2,1,7,3,25
2129.fa,2,4,6,20,76,0,2,1,4,19,4,10,5,21
2071.fa,39,4,2,18,70,1,0,3,5,3,11,7,4,31
2550.fa,13,3,7,23,70,2,2,3,16,13,12,7,5,86
594.fa,6,4,16,38,62,1,1,12,7,5,12,11,6,41
2099.fa,1,1,2,3,61,0,1,2,7,0,1,3,0,12
800.fa,7,1,3,7,61,1,0,1,1,3,3,1,1,15
2208.fa,1,1,5,15,61,2,2,2,3,5,3,3,3,31
2328.fa,10,2,3,5,60,0,6,0,0,2,1,0,2,0
2587.fa,15,18,8,13,56,4,1,4,6,6,3,4,4,29
1933.fa,1,0,2,6,55,0,1,20,0,3,2,2,4,10
2087.fa,3,2,7,24,54,1,2,2,1,5,8,8,3,34
2581.fa,24,1,4,28,54,3,3,4,5,4,3,5,4,26
2163.fa,1,2,6,22,53,1,1,1,1,3,4,0,2,16
1236.fa,3,2,22,13,53,1,1,0,2,0,1,7,2,14
2266.fa,11,2,9,6,53,0,0,0,7,1,14,19,5,35
2418.fa,12,1,12,12,52,2,0,2,2,0,1,3,2,18
1479.fa,2,0,1,8,51,0,3,0,1,0,1,2,1,18
2440.fa,20,0,8,15,51,0,0,0,5,4,4,5,5,36
1577.fa,8,3,11,16,51,4,2,6,5,4,19,23,6,41
1547.fa,13,0,14,16,50,1,2,5,3,5,12,4,2,13
403.fa,5,1,1,19,48,4,2,0,2,4,5,4,3,35
1484.fa,3,0,1,12,47,1,0,2,2,1,3,2,3,9
1001.fa,0,1,3,24,46,1,1,1,1,3,3,2,2,8
706.fa,1,2,2,11,46,0,0,11,2,1,1,19,1,16
1656.fa,3,5,9,21,46,2,1,0,2,5,8,5,7,79
1118.fa,12,3,6,19,44,1,1,2,4,6,8,7,3,25
2465.fa,21,4,13,31,44,6,1,4,6,9,8,11,11,47
1695.fa,1,1,4,2,43,0,0,1,1,1,1,1,2,5
1164.fa,12,2,2,7,43,0,1,0,5,3,2,2,2,18
2548.fa,6,1,2,14,43,1,0,0,0,2,11,4,2,17
2745.fa,10,1,2,13,43,1,0,1,2,1,1,20,11,6
631.fa,12,5,3,18,43,3,1,2,2,2,6,4,4,16
1354.fa,11,3,18,18,43,2,0,0,2,2,1,3,13,25
2735.fa,20,9,32,57,43,5,5,2,10,15,8,47,20,97
1172.fa,11,1,11,6,42,1,2,2,5,2,2,2,1,6
1651.fa,13,9,6,32,42,2,4,0,15,5,16,20,6,63
1831.fa,8,0,5,31,41,4,0,0,24,5,18,8,8,26
1882.fa,2,1,0,9,40,2,0,0,1,1,2,2,1,6
2536.fa,13,2,2,28,40,2,2,2,11,7,10,7,4,38
1431.fa,5,1,5,13,39,1,1,0,12,0,0,0,2,11
1538.fa,12,1,2,5,39,0,29,0,3,3,3,1,3,22
1312.fa,11,1,3,1,38,0,1,1,2,0,1,2,3,10
1365.fa,6,1,9,19,38,1,0,1,3,2,5,6,2,22
838.fa,9,5,5,11,38,0,1,3,3,12,11,5,4,31
2281.fa,3,13,8,128,38,4,7,1,8,10,7,4,6,47
56.fa,1,0,3,3,37,1,1,0,0,1,1,0,0,3
1436.fa,0,0,1,4,37,0,0,0,1,1,2,1,0,5
254.fa,1,3,0,4,37,1,2,0,0,3,2,2,3,13
1812.fa,4,0,1,6,37,0,0,1,3,2,1,5,1,13
1067.fa,5,1,3,15,37,3,1,1,6,1,3,7,3,18
1971.fa,6,2,5,20,37,0,1,2,18,2,6,2,7,32
1214.fa,3,0,6,8,36,0,1,1,0,3,2,3,2,10
1529.fa,7,1,1,6,36,1,0,3,12,3,3,10,3,41
2299.fa,15,0,5,15,36,1,2,3,4,2,6,15,6,29
601.fa,30,4,19,26,36,1,2,2,23,19,22,17,25,47
542.fa,1,5,5,3,35,3,1,1,3,5,7,4,1,19
1914.fa,2,2,2,6,35,22,2,1,9,2,4,3,4,30
2001.fa,8,0,4,21,35,4,2,2,2,4,6,8,5,26
2588.fa,5,3,8,17,35,3,3,6,4,5,7,9,8,20
2736.fa,3,0,2,6,34,1,0,0,0,0,0,0,0,5
2514.fa,6,1,1,6,34,2,0,0,0,3,0,1,0,12
1915.fa,2,1,4,10,34,0,0,2,0,1,2,3,0,10
1614.fa,2,1,1,6,34,0,0,1,2,7,2,5,2,9
1414.fa,1,4,2,5,34,0,0,3,8,2,3,1,1,15
1266.fa,0,1,0,1,34,1,2,0,39,0,3,0,0,4
2286.fa,2,1,13,12,34,0,0,0,5,0,7,1,1,18
871.fa,3,1,2,11,34,2,0,1,3,0,15,2,6,15
2488.fa,11,2,7,11,34,3,0,1,1,3,3,4,3,16
1801.fa,9,2,6,8,34,2,0,2,6,7,9,7,4,18
2272.fa,2,3,1,11,34,1,0,3,3,2,2,5,1,47
7.fa,5,5,4,16,34,1,1,0,19,0,6,6,2,70
907.fa,22,7,25,9,34,4,4,2,11,6,4,8,4,47
2582.fa,22,3,4,26,33,2,1,2,1,0,2,8,1,23
978.fa,0,2,0,1,32,2,0,0,0,1,0,1,0,4
473.fa,3,0,4,2,32,0,0,1,1,0,6,0,4,13
1159.fa,9,0,4,8,32,0,0,2,0,2,4,2,1,11
2544.fa,3,2,1,16,32,0,1,2,2,1,2,4,1,26
2732.fa,3,2,4,14,32,0,0,0,2,1,4,11,4,20
1854.fa,1,2,2,8,32,5,2,2,2,1,6,27,2,6
257.fa,16,1,4,3,32,0,0,0,7,1,2,7,9,17
2698.fa,5,5,2,17,32,1,0,0,2,3,6,6,1,19
2118.fa,0,3,3,3,31,0,0,0,1,0,0,1,1,3
84.fa,3,2,0,2,31,0,0,0,2,2,0,1,2,3
54.fa,4,0,0,4,31,0,3,0,1,0,2,0,1,6
