interpro_id	all_genes_with	all_genes_without	test_genes_with	test_genes_without	fra_all_genes_with	fra_test_genes_with	chisq_statistic	chisq_df	chisq_p	interpro_description	pos_neg	p.adj
IPR000001	3	31416	0	7827	9.54836245583882e-05	0	0.0201766332056444	1	0.887044874942157	Kringle	negative	1
IPR000003	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Retinoid X receptor/HNF4	negative	1
IPR000007	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Tubby, C-terminal	negative	1
IPR000008	31	31388	12	7815	0.000986664120436678	0.00153315446531238	1.24698599604625	1	0.264128917408595	C2 domain	negative	1
IPR000009	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Protein phosphatase 2A regulatory subunit PR55	negative	1
IPR000010	6	31413	0	7827	0.000190967249116776	0	0.506632106173702	1	0.476600437341548	Cystatin domain	negative	1
IPR000014	4	31415	2	7825	0.000127311499411184	0.00025552574421873	0.0961019423874538	1	0.756558573959798	PAS domain	negative	1
IPR000020	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Anaphylatoxin/fibulin	negative	1
IPR000023	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Phosphofructokinase domain	negative	1
IPR000031	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	PurE domain	negative	1
IPR000033	5	31414	2	7825	0.00015913937426398	0.00025552574421873	0.00967190590349587	1	0.921657672826749	LDLR class B repeat	negative	1
IPR000034	2	31417	1	7826	6.36557497055922e-05	0.000127762872109365	2.68836078854197e-25	1	0.999999999999586	Laminin IV	negative	1
IPR000040	1	31418	0	7827	3.18278748527961e-05	0	2.10996103741377e-25	1	0.999999999999634	Acute myeloid leukemia 1 protein (AML1)/Runt	negative	1
IPR000043	1	31418	1	7826	3.18278748527961e-05	0.000127762872109365	0.0320307156871852	1	0.857960260216847	Adenosylhomocysteinase-like	negative	1
IPR000047	5	31414	1	7826	0.00015913937426398	0.000127762872109365	1.26628631481677e-24	1	0.999999999999102	Helix-turn-helix motif	negative	1
