file	brenneri	briggsae	doughertyi	elegans	inopinata	latens	nigoni	remanei	sinica	sp26	sp40	tropicalis	wallacei	kamaaina	elegans_gene_id	prot_length	elegans_gene_id.1	Your.Input	Public.Name	brenneri_fra	briggsae_fra	doughertyi_fra	elegans_fra	inopinata_fra	latens_fra	nigoni_fra	remanei_fra	sinica_fra	sp26_fra	sp40_fra	tropicalis_fra	wallacei_fra	kamaaina_fra	mean_spsp_aa	brenneri_spsp_over_mean	briggsae_spsp_over_mean	doughertyi_spsp_over_mean	elegans_spsp_over_mean	inopinata_spsp_over_mean	latens_spsp_over_mean	nigoni_spsp_over_mean	remanei_spsp_over_mean	sinica_spsp_over_mean	sp26_spsp_over_mean	sp40_spsp_over_mean	tropicalis_spsp_over_mean	wallacei_spsp_over_mean	kamaaina_spsp_over_mean	high_inop_spsp
0.fa	2	0	0	1	8	0	0	1	0	1	0	3	0	1	Y54G2A.16	146	Y54G2A.16	Y54G2A.16	Y54G2A.16	0.0136986301369863	0	0	0.00684931506849315	0.0547945205479452	0	0	0.00684931506849315	0	0.00684931506849315	0	0.0205479452054795	0	0.00684931506849315	1.21428571428571	1.64705882352941	0	0	0.823529411764706	6.58823529411765	0	0	0.823529411764706	0	0.823529411764706	0	2.47058823529412	0	0.823529411764706	FALSE
1.fa	1	1	1	2	12	0	0	0	0	1	0	14	1	7	F32D8.1	289	F32D8.1	F32D8.1	F32D8.1	0.00346020761245675	0.00346020761245675	0.00346020761245675	0.0069204152249135	0.041522491349481	0	0	0	0	0.00346020761245675	0	0.0484429065743945	0.00346020761245675	0.0242214532871972	2.85714285714286	0.35	0.35	0.35	0.7	4.2	0	0	0	0	0.35	0	4.9	0.35	2.45	FALSE
10.fa	0	0	1	2	7	1	10	0	0	0	0	1	1	2	F36A2.3	371	F36A2.3	F36A2.3	F36A2.3	0	0	0.00269541778975741	0.00539083557951483	0.0188679245283019	0.00269541778975741	0.0269541778975741	0	0	0	0	0.00269541778975741	0.00269541778975741	0.00539083557951483	1.78571428571429	0	0	0.56	1.12	3.92	0.56	5.6	0	0	0	0	0.56	0.56	1.12	FALSE
100.fa	21	1	1	1	4	0	0	0	1	1	2	4	0	14	T23G5.6	302	T23G5.6	T23G5.6	saeg-2	0.0695364238410596	0.0033112582781457	0.0033112582781457	0.0033112582781457	0.0132450331125828	0	0	0	0.0033112582781457	0.0033112582781457	0.00662251655629139	0.0132450331125828	0	0.0463576158940397	3.57142857142857	5.88	0.28	0.28	0.28	1.12	0	0	0	0.28	0.28	0.56	1.12	0	3.92	FALSE
1000.fa	2	1	1	3	1	0	0	0	0	1	0	0	1	8	C49C3.12	206	C49C3.12	C49C3.12	clec-197	0.00970873786407767	0.00485436893203883	0.00485436893203883	0.0145631067961165	0.00485436893203883	0	0	0	0	0.00485436893203883	0	0	0.00485436893203883	0.0388349514563107	1.28571428571429	1.55555555555556	0.777777777777778	0.777777777777778	2.33333333333333	0.777777777777778	0	0	0	0	0.777777777777778	0	0	0.777777777777778	6.22222222222222	FALSE
1001.fa	0	1	3	24	46	1	1	1	1	3	3	2	2	8	F40E10.1	556	F40E10.1	F40E10.1	hch-1	0	0.00179856115107914	0.00539568345323741	0.0431654676258993	0.0827338129496403	0.00179856115107914	0.00179856115107914	0.00179856115107914	0.00179856115107914	0.00539568345323741	0.00539568345323741	0.00359712230215827	0.00359712230215827	0.0143884892086331	6.85714285714286	0	0.145833333333333	0.4375	3.5	6.70833333333333	0.145833333333333	0.145833333333333	0.145833333333333	0.145833333333333	0.4375	0.4375	0.291666666666667	0.291666666666667	1.16666666666667	TRUE
1002.fa	0	0	0	2	6	0	0	0	0	0	0	0	0	3	Y73F4A.2	96	Y73F4A.2	Y73F4A.2	Y73F4A.2	0	0	0	0.0208333333333333	0.0625	0	0	0	0	0	0	0	0	0.03125	0.785714285714286	0	0	0	2.54545454545455	7.63636363636364	0	0	0	0	0	0	0	0	3.81818181818182	TRUE
1003.fa	1	0	1	0	1	2	0	0	3	1	1	5	0	3	Y54F10AM.1	109	Y54F10AM.1	Y54F10AM.1	nhr-239	0.00917431192660551	0	0.00917431192660551	0	0.00917431192660551	0.018348623853211	0	0	0.0275229357798165	0.00917431192660551	0.00917431192660551	0.0458715596330275	0	0.0275229357798165	1.28571428571429	0.777777777777778	0	0.777777777777778	0	0.777777777777778	1.55555555555556	0	0	2.33333333333333	0.777777777777778	0.777777777777778	3.88888888888889	0	2.33333333333333	FALSE
1004.fa	2	1	2	1	1	0	0	1	3	0	0	3	0	2	W04G3.3	331	W04G3.3	W04G3.3	lpr-4	0.00604229607250755	0.00302114803625378	0.00604229607250755	0.00302114803625378	0.00302114803625378	0	0	0.00302114803625378	0.00906344410876133	0	0	0.00906344410876133	0	0.00604229607250755	1.14285714285714	1.75	0.875	1.75	0.875	0.875	0	0	0.875	2.625	0	0	2.625	0	1.75	FALSE
1005.fa	0	1	0	2	4	0	0	1	2	0	1	0	1	4	W06B11.1	136	W06B11.1	W06B11.1	atat-2	0	0.00735294117647059	0	0.0147058823529412	0.0294117647058824	0	0	0.00735294117647059	0.0147058823529412	0	0.00735294117647059	0	0.00735294117647059	0.0294117647058824	1.14285714285714	0	0.875	0	1.75	3.5	0	0	0.875	1.75	0	0.875	0	0.875	3.5	FALSE
1006.fa	1	0	0	2	3	0	1	1	0	1	0	1	0	3	W09D10.4	296	W09D10.4	W09D10.4	W09D10.4	0.00337837837837838	0	0	0.00675675675675676	0.0101351351351351	0	0.00337837837837838	0.00337837837837838	0	0.00337837837837838	0	0.00337837837837838	0	0.0101351351351351	0.928571428571429	1.07692307692308	0	0	2.15384615384615	3.23076923076923	0	1.07692307692308	1.07692307692308	0	1.07692307692308	0	1.07692307692308	0	3.23076923076923	FALSE
1007.fa	3	1	10	6	10	0	2	0	35	1	0	3	3	2	ZK632.1	579	ZK632.1	ZK632.1	mcm-6	0.00518134715025907	0.00172711571675302	0.0172711571675302	0.0103626943005181	0.0172711571675302	0	0.00345423143350604	0	0.0604490500863558	0.00172711571675302	0	0.00518134715025907	0.00518134715025907	0.00345423143350604	5.42857142857143	0.552631578947368	0.184210526315789	1.84210526315789	1.10526315789474	1.84210526315789	0	0.368421052631579	0	6.44736842105263	0.184210526315789	0	0.552631578947368	0.552631578947368	0.368421052631579	FALSE
1008.fa	0	0	0	0	4	0	0	0	0	0	0	3	3	9	ZK328.8	186	ZK328.8	ZK328.8	tbx-7	0	0	0	0	0.021505376344086	0	0	0	0	0	0	0.0161290322580645	0.0161290322580645	0.0483870967741935	1.35714285714286	0	0	0	0	2.94736842105263	0	0	0	0	0	0	2.21052631578947	2.21052631578947	6.63157894736842	FALSE
1009.fa	11	0	1	1	3	0	0	0	2	0	1	0	1	1	F41E6.12	180	F41E6.12	F41E6.12	F41E6.12	0.0611111111111111	0	0.00555555555555556	0.00555555555555556	0.0166666666666667	0	0	0	0.0111111111111111	0	0.00555555555555556	0	0.00555555555555556	0.00555555555555556	1.5	7.33333333333333	0	0.666666666666667	0.666666666666667	2	0	0	0	1.33333333333333	0	0.666666666666667	0	0.666666666666667	0.666666666666667	FALSE
101.fa	4	1	3	3	3	0	0	1	0	0	4	0	2	6	C37C3.8	300	C37C3.8	C37C3.8	memo-1	0.0133333333333333	0.00333333333333333	0.01	0.01	0.01	0	0	0.00333333333333333	0	0	0.0133333333333333	0	0.00666666666666667	0.02	1.92857142857143	2.07407407407407	0.518518518518518	1.55555555555556	1.55555555555556	1.55555555555556	0	0	0.518518518518518	0	0	2.07407407407407	0	1.03703703703704	3.11111111111111	FALSE
1010.fa	1	1	2	3	13	0	0	0	2	6	7	3	1	5	K11B4.1	313	K11B4.1	K11B4.1	mrps-27	0.00319488817891374	0.00319488817891374	0.00638977635782748	0.00958466453674121	0.0415335463258786	0	0	0	0.00638977635782748	0.0191693290734824	0.0223642172523962	0.00958466453674121	0.00319488817891374	0.0159744408945687	3.14285714285714	0.318181818181818	0.318181818181818	0.636363636363636	0.954545454545455	4.13636363636364	0	0	0	0.636363636363636	1.90909090909091	2.22727272727273	0.954545454545455	0.318181818181818	1.59090909090909	FALSE
1011.fa	7	4	3	12	20	4	1	0	1	1	1	2	1	19	R03D7.1	1201	R03D7.1	R03D7.1	metr-1	0.00582847626977519	0.00333055786844296	0.00249791840133222	0.00999167360532889	0.0166527893422148	0.00333055786844296	0.000832639467110741	0	0.000832639467110741	0.000832639467110741	0.000832639467110741	0.00166527893422148	0.000832639467110741	0.0158201498751041	5.42857142857143	1.28947368421053	0.736842105263158	0.552631578947368	2.21052631578947	3.68421052631579	0.736842105263158	0.184210526315789	0	0.184210526315789	0.184210526315789	0.184210526315789	0.368421052631579	0.184210526315789	3.5	FALSE
1012.fa	9	1	5	4	15	0	0	1	1	0	4	3	0	8	F45H11.3	579	F45H11.3	F45H11.3	hpo-35	0.0155440414507772	0.00172711571675302	0.00863557858376511	0.00690846286701209	0.0259067357512953	0	0	0.00172711571675302	0.00172711571675302	0	0.00690846286701209	0.00518134715025907	0	0.0138169257340242	3.64285714285714	2.47058823529412	0.274509803921569	1.37254901960784	1.09803921568627	4.11764705882353	0	0	0.274509803921569	0.274509803921569	0	1.09803921568627	0.823529411764706	0	2.19607843137255	FALSE
1013.fa	3	0	0	0	0	0	0	0	0	0	0	0	0	1	C53C11.2	78	C53C11.2	C53C11.2	C53C11.2	0.0384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0.0128205128205128	0.285714285714286	10.5	0	0	0	0	0	0	0	0	0	0	0	0	3.5	FALSE
1014.fa	4	0	3	1	4	0	1	0	0	4	7	2	0	4	F31E8.3	189	F31E8.3	F31E8.3	tab-1	0.0211640211640212	0	0.0158730158730159	0.00529100529100529	0.0211640211640212	0	0.00529100529100529	0	0	0.0211640211640212	0.037037037037037	0.0105820105820106	0	0.0211640211640212	2.14285714285714	1.86666666666667	0	1.4	0.466666666666667	1.86666666666667	0	0.466666666666667	0	0	1.86666666666667	3.26666666666667	0.933333333333333	0	1.86666666666667	FALSE
1015.fa	5	1	2	5	12	0	0	2	4	2	3	1	3	12	C44F1.1	492	C44F1.1	C44F1.1	C44F1.1	0.0101626016260163	0.00203252032520325	0.0040650406504065	0.0101626016260163	0.024390243902439	0	0	0.0040650406504065	0.00813008130081301	0.0040650406504065	0.00609756097560976	0.00203252032520325	0.00609756097560976	0.024390243902439	3.71428571428571	1.34615384615385	0.269230769230769	0.538461538461538	1.34615384615385	3.23076923076923	0	0	0.538461538461538	1.07692307692308	0.538461538461538	0.807692307692308	0.269230769230769	0.807692307692308	3.23076923076923	FALSE
1016.fa	3	3	1	3	4	0	1	1	28	1	0	9	0	2	R08D7.1	233	R08D7.1	R08D7.1	bud-13	0.0128755364806867	0.0128755364806867	0.00429184549356223	0.0128755364806867	0.0171673819742489	0	0.00429184549356223	0.00429184549356223	0.120171673819742	0.00429184549356223	0	0.0386266094420601	0	0.00858369098712446	4	0.75	0.75	0.25	0.75	1	0	0.25	0.25	7	0.25	0	2.25	0	0.5	FALSE
