Orthogroup	briggsae	elegans	inopinata	nigoni	remanei
OG0019628	CBG00238				
OG0019629	CBG00275				
OG0019630	CBG00293				
OG0019631	CBG00410				
OG0019632	CBG00609				
OG0019633	CBG00777				
OG0019634	CBG00805				
OG0019635	CBG00889				
OG0019636	CBG00990				
OG0019637	CBG01140				
OG0019638	CBG01195				
OG0019639	CBG01208				
OG0019640	CBG01389				
OG0019641	CBG01464				
OG0019642	CBG01708b				
OG0019643	CBG02124				
OG0019644	CBG02164				
OG0019645	CBG02204				
OG0019646	CBG02263				
OG0019647	CBG02286				
OG0019648	CBG02321				
OG0019649	CBG02642				
OG0019650	CBG02713				
OG0019651	CBG02787				
OG0019652	CBG02838				
OG0019653	CBG03052				
OG0019654	CBG03097				
OG0019655	CBG03174				
OG0019656	CBG03321				
OG0019657	CBG03498				
OG0019658	CBG03580				
OG0019659	CBG03644				
OG0019660	CBG03689				
OG0019661	CBG03691				
OG0019662	CBG03801				
OG0019663	CBG03996				
OG0019664	CBG04198				
OG0019665	CBG04254				
OG0019666	CBG04276				
OG0019667	CBG04447				
OG0019668	CBG04545				
OG0019669	CBG04553				
OG0019670	CBG04557				
OG0019671	CBG04583				
OG0019672	CBG04653				
OG0019673	CBG04657				
OG0019674	CBG04659				
OG0019675	CBG04683				
OG0019676	CBG04797				
OG0019677	CBG04798				
OG0019678	CBG04805				
OG0019679	CBG04806				
OG0019680	CBG04860				
OG0019681	CBG04922				
OG0019682	CBG04949				
OG0019683	CBG05343				
OG0019684	CBG05357				
OG0019685	CBG05398				
OG0019686	CBG05425				
OG0019687	CBG05442				
OG0019688	CBG05481				
OG0019689	CBG05688				
OG0019690	CBG05727				
OG0019691	CBG05887				
OG0019692	CBG05946				
OG0019693	CBG06367				
OG0019694	CBG06513				
OG0019695	CBG06561				
OG0019696	CBG06654				
OG0019697	CBG06687				
OG0019698	CBG06705				
OG0019699	CBG06715				
OG0019700	CBG06774				
OG0019701	CBG06953				
OG0019702	CBG07136				
OG0019703	CBG07149				
OG0019704	CBG07289				
OG0019705	CBG07448				
OG0019706	CBG07521				
OG0019707	CBG07791				
OG0019708	CBG07852				
OG0019709	CBG07892				
OG0019710	CBG08016				
OG0019711	CBG08183				
OG0019712	CBG08331				
OG0019713	CBG08434				
OG0019714	CBG08517				
OG0019715	CBG08616				
OG0019716	CBG09440				
OG0019717	CBG09916				
OG0019718	CBG10125				
OG0019719	CBG10141				
OG0019720	CBG10175				
OG0019721	CBG10178				
OG0019722	CBG10190				
OG0019723	CBG10225				
OG0019724	CBG10234				
OG0019725	CBG10280				
OG0019726	CBG10305				
OG0019727	CBG10320				
OG0019728	CBG10341				
OG0019729	CBG10388				
OG0019730	CBG10389				
OG0019731	CBG10401				
OG0019732	CBG10497				
OG0019733	CBG10599				
OG0019734	CBG10600				
OG0019735	CBG10631				
OG0019736	CBG10637				
OG0019737	CBG10679				
OG0019738	CBG10697				
OG0019739	CBG10746				
OG0019740	CBG10822				
OG0019741	CBG10972				
OG0019742	CBG11055				
OG0019743	CBG11068				
OG0019744	CBG11078				
OG0019745	CBG11079				
OG0019746	CBG11084				
OG0019747	CBG11085				
OG0019748	CBG11097				
OG0019749	CBG11226				
OG0019750	CBG11246				
OG0019751	CBG11645				
OG0019752	CBG11669				
OG0019753	CBG11687				
OG0019754	CBG11790				
OG0019755	CBG11797				
OG0019756	CBG11828				
OG0019757	CBG11835				
OG0019758	CBG11877				
OG0019759	CBG11878				
OG0019760	CBG11893				
OG0019761	CBG11901				
OG0019762	CBG12080				
OG0019763	CBG12140				
OG0019764	CBG12251				
OG0019765	CBG12272				
OG0019766	CBG12283				
OG0019767	CBG12395				
OG0019768	CBG12813				
OG0019769	CBG13107				
OG0019770	CBG13246				
OG0019771	CBG13363				
OG0019772	CBG13426				
OG0019773	CBG13446				
OG0019774	CBG13580b				
OG0019775	CBG13590				
OG0019776	CBG13593				
OG0019777	CBG13597				
OG0019778	CBG13672				
OG0019779	CBG13761				
OG0019780	CBG13791				
OG0019781	CBG13837				
OG0019782	CBG14030				
OG0019783	CBG14828				
OG0019784	CBG14992				
OG0019785	CBG15115				
OG0019786	CBG15187				
OG0019787	CBG15327				
OG0019788	CBG15480				
OG0019789	CBG15619				
OG0019790	CBG15620				
OG0019791	CBG15643				
OG0019792	CBG15912				
OG0019793	CBG16080				
OG0019794	CBG16717				
OG0019795	CBG16734				
OG0019796	CBG16862				
OG0019797	CBG16874				
OG0019798	CBG16993				
OG0019799	CBG17025				
OG0019800	CBG17031				
OG0019801	CBG17053				
OG0019802	CBG17075				
OG0019803	CBG17083				
OG0019804	CBG17085				
OG0019805	CBG17203				
OG0019806	CBG17465				
OG0019807	CBG17527				
OG0019808	CBG17772				
OG0019809	CBG17796				
OG0019810	CBG17844				
OG0019811	CBG17850				
OG0019812	CBG17869a				
OG0019813	CBG17896				
OG0019814	CBG17900				
OG0019815	CBG17924				
OG0019816	CBG18178				
OG0019817	CBG18481				
OG0019818	CBG18512				
OG0019819	CBG18575				
OG0019820	CBG18588				
OG0019821	CBG18694				
OG0019822	CBG18880				
