elegans_gene_id,prot_length,file,elegans_gene_id,Your Input,Public Name
Y54G2A.16,146,0.fa,Y54G2A.16,Y54G2A.16,Y54G2A.16
C49C3.12,206,1000.fa,C49C3.12,C49C3.12,clec-197
F40E10.1,556,1001.fa,F40E10.1,F40E10.1,hch-1
Y73F4A.2,96,1002.fa,Y73F4A.2,Y73F4A.2,Y73F4A.2
Y54F10AM.1,109,1003.fa,Y54F10AM.1,Y54F10AM.1,nhr-239
W04G3.3,331,1004.fa,W04G3.3,W04G3.3,lpr-4
W06B11.1,136,1005.fa,W06B11.1,W06B11.1,atat-2
W09D10.4,296,1006.fa,W09D10.4,W09D10.4,W09D10.4
ZK632.1,579,1007.fa,ZK632.1,ZK632.1,mcm-6
ZK328.8,186,1008.fa,ZK328.8,ZK328.8,tbx-7
F41E6.12,180,1009.fa,F41E6.12,F41E6.12,F41E6.12
T23G5.6,302,100.fa,T23G5.6,T23G5.6,saeg-2
K11B4.1,313,1010.fa,K11B4.1,K11B4.1,mrps-27
R03D7.1,1201,1011.fa,R03D7.1,R03D7.1,metr-1
F45H11.3,579,1012.fa,F45H11.3,F45H11.3,hpo-35
C53C11.2,78,1013.fa,C53C11.2,C53C11.2,C53C11.2
F31E8.3,189,1014.fa,F31E8.3,F31E8.3,tab-1
C44F1.1,492,1015.fa,C44F1.1,C44F1.1,C44F1.1
R08D7.1,233,1016.fa,R08D7.1,R08D7.1,bud-13
W08E3.3,394,1017.fa,W08E3.3,W08E3.3,ola-1
F37H8.3,116,1018.fa,F37H8.3,F37H8.3,bigr-1
T14G11.3,671,1019.fa,T14G11.3,T14G11.3,immt-1
C37C3.8,300,101.fa,C37C3.8,C37C3.8,memo-1
ZK856.7,121,1020.fa,ZK856.7,ZK856.7,ZK856.7
C30A5.3,220,1021.fa,C30A5.3,C30A5.3,mob-4
K10B4.3,355,1022.fa,K10B4.3,K10B4.3,K10B4.3
C02D4.2,418,1023.fa,C02D4.2,C02D4.2,ser-2
T12A2.15,165,1024.fa,T12A2.15,T12A2.15,esyt-2
C39B10.2,335,1025.fa,C39B10.2,C39B10.2,lgc-41
T09A5.2,572,1026.fa,T09A5.2,T09A5.2,klp-3
C08F8.4,338,1027.fa,C08F8.4,C08F8.4,mboa-4
C46F4.1,319,1028.fa,C46F4.1,C46F4.1,egl-6
W05B5.1,0,1029.fa,W05B5.1,W05B5.1,W05B5.1
Y4C6B.6,201,102.fa,Y4C6B.6,Y4C6B.6,gba-4
ZK470.5,318,1030.fa,ZK470.5,ZK470.5,nck-1
F26A3.7,171,1031.fa,F26A3.7,F26A3.7,F26A3.7
K02F3.6,236,1032.fa,K02F3.6,K02F3.6,ceeh-1
Y102A11A.5,132,1033.fa,Y102A11A.5,Y102A11A.5,Y102A11A.5
F49D11.10,310,1034.fa,F49D11.10,F49D11.10,F49D11.10
C10A4.2,71,1035.fa,C10A4.2,C10A4.2,C10A4.2
ZC395.6,137,1036.fa,ZC395.6,ZC395.6,gro-1
H40L08.1,384,1037.fa,H40L08.1,H40L08.1,H40L08.1
