Sp34_10000510.t1	IPR004296	DUF236 repeat
Sp34_10000700.t1	IPR019320	BLOC-1-related complex subunit 8
Sp34_10000810.t1	IPR019266	Small ribosomal subunit protein mS27
Sp34_10000810.t1	IPR034913	mS27/PTCD2
Sp34_10000820.t1	IPR013087	Zinc finger C2H2-type
Sp34_10000820.t1	IPR036236	Zinc finger C2H2 superfamily
Sp34_10000900.t1	IPR000608	Ubiquitin-conjugating enzyme E2
Sp34_10000900.t1	IPR016135	Ubiquitin-conjugating enzyme/RWD-like
Sp34_10001000.t1	IPR011032	GroES-like superfamily
Sp34_10001000.t1	IPR013149	Alcohol dehydrogenase-like, C-terminal
Sp34_10001000.t1	IPR013154	Alcohol dehydrogenase-like, N-terminal
Sp34_10001000.t1	IPR020843	Polyketide synthase, enoylreductase domain
Sp34_10001000.t1	IPR036291	NAD(P)-binding domain superfamily
Sp34_10001100.t1	IPR036397	Ribonuclease H superfamily
Sp34_10001300.t1	IPR009057	Homeobox-like domain superfamily
Sp34_10001300.t1	IPR036388	Winged helix-like DNA-binding domain superfamily
Sp34_10001300.t1	IPR036397	Ribonuclease H superfamily
Sp34_10001400.t1	IPR036397	Ribonuclease H superfamily
Sp34_10001500.t1	IPR001627	Sema domain
Sp34_10001500.t1	IPR002165	Plexin repeat
Sp34_10001500.t1	IPR015943	WD40/YVTN repeat-like-containing domain superfamily
Sp34_10001500.t1	IPR016201	PSI domain
Sp34_10001500.t1	IPR027231	Semaphorin
Sp34_10001500.t1	IPR036352	Sema domain superfamily
Sp34_10001600.t1	IPR001680	WD40 repeat
Sp34_10001600.t1	IPR015943	WD40/YVTN repeat-like-containing domain superfamily
Sp34_10001600.t1	IPR036322	WD40-repeat-containing domain superfamily
Sp34_10001710.t1	IPR009244	Mediator complex, subunit Med7
Sp34_10001710.t1	IPR037212	Mediator complex, subunit Med7/Med21-like
Sp34_10001710.t1	IPR044888	Mediator complex, subunit Med7 superfmaily
Sp34_10001720.t1	IPR000608	Ubiquitin-conjugating enzyme E2
Sp34_10001720.t1	IPR016135	Ubiquitin-conjugating enzyme/RWD-like
Sp34_10001800.t1	IPR006076	FAD dependent oxidoreductase
Sp34_10001800.t1	IPR006181	D-amino acid oxidase, conserved site
Sp34_10001800.t1	IPR023209	D-amino-acid oxidase
Sp34_10001900.t1	IPR000922	D-galactoside/L-rhamnose binding SUEL lectin domain
Sp34_10001900.t1	IPR043159	D-galactoside/L-rhamnose binding SUEL lectin domain superfamily
Sp34_10002000.t1	IPR000719	Protein kinase domain
Sp34_10002000.t1	IPR011009	Protein kinase-like domain superfamily
Sp34_10002000.t1	IPR047916	Tau-tubulin kinase homolog Asator-like, catalytic domain
Sp34_10002100.t1	IPR015324	Ribosomal protein Rsm22-like
Sp34_10002100.t1	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
Sp34_10002200.t1	IPR026074	Microtubule associated protein 1
Sp34_10002300.t1	IPR011989	Armadillo-like helical
Sp34_10002300.t1	IPR016024	Armadillo-type fold
Sp34_10002300.t1	IPR016617	Armadillo repeat-containing protein 1
Sp34_10002400.t1	IPR000225	Armadillo
Sp34_10002400.t1	IPR011989	Armadillo-like helical
Sp34_10002400.t1	IPR013284	Beta-catenin
Sp34_10002400.t1	IPR016024	Armadillo-type fold
Sp34_10002500.t1	IPR015943	WD40/YVTN repeat-like-containing domain superfamily
Sp34_10002500.t1	IPR036322	WD40-repeat-containing domain superfamily
Sp34_10002610.t1	IPR000859	CUB domain
Sp34_10002610.t1	IPR002172	Low-density lipoprotein (LDL) receptor class A repeat
Sp34_10002610.t1	IPR035914	Spermadhesin, CUB domain superfamily
Sp34_10002610.t1	IPR036055	LDL receptor-like superfamily
Sp34_10002620.t1	IPR009787	Protein jagunal
Sp34_10002700.t1	IPR000243	Peptidase T1A, proteasome beta-subunit
Sp34_10002700.t1	IPR001353	Proteasome, subunit alpha/beta
Sp34_10002700.t1	IPR023333	Proteasome B-type subunit
Sp34_10002700.t1	IPR029055	Nucleophile aminohydrolases, N-terminal
Sp34_10002900.t1	IPR001870	B30.2/SPRY domain
Sp34_10002900.t1	IPR003877	SPRY domain
Sp34_10002900.t1	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily
Sp34_10002900.t1	IPR043136	B30.2/SPRY domain superfamily
Sp34_10003000.t1	IPR013785	Aldolase-type TIM barrel
Sp34_10003000.t1	IPR014720	Double-stranded RNA-binding domain
Sp34_10003000.t1	IPR018517	tRNA-dihydrouridine synthase, conserved site
Sp34_10003000.t1	IPR035587	DUS-like, FMN-binding domain
Sp34_10003100.t1	IPR000719	Protein kinase domain
Sp34_10003100.t1	IPR008271	Serine/threonine-protein kinase, active site
Sp34_10003100.t1	IPR011009	Protein kinase-like domain superfamily
Sp34_10003200.t1	IPR008476	Protein PBDC1, metazoa/fungi
Sp34_10003200.t1	IPR023139	PBDC1-like domain superfamily
Sp34_10003300.t1	IPR001969	Aspartic peptidase, active site
Sp34_10003300.t1	IPR021109	Aspartic peptidase domain superfamily
Sp34_10003300.t1	IPR043502	DNA/RNA polymerase superfamily
Sp34_10003400.t1	IPR025574	Nucleoporin FG repeat
Sp34_10003400.t1	IPR026010	Nucleoporin NSP1/NUP62
Sp34_10003500.t1	IPR002305	Aminoacyl-tRNA synthetase, class Ic
Sp34_10003500.t1	IPR002307	Tyrosine-tRNA ligase
Sp34_10003500.t1	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
Sp34_10003600.t1	IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding
Sp34_10003600.t1	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
Sp34_10003600.t1	IPR014758	Methionyl-tRNA synthetase
Sp34_10003600.t1	IPR015413	Methionyl/Leucyl tRNA synthetase
Sp34_10003600.t1	IPR023457	Methionine-tRNA synthetase, type 2
Sp34_10003600.t1	IPR033911	Methioninyl-tRNA synthetase core domain
Sp34_10003700.t1	IPR007266	Endoplasmic reticulum oxidoreductin 1
Sp34_10003700.t1	IPR037192	ERO1-like superfamily
Sp34_10003900.t1	IPR000836	Phosphoribosyltransferase domain
Sp34_10003900.t1	IPR005904	Hypoxanthine phosphoribosyl transferase
Sp34_10003900.t1	IPR029057	Phosphoribosyltransferase-like
Sp34_10004000.t1	IPR000687	RIO kinase
Sp34_10004000.t1	IPR011009	Protein kinase-like domain superfamily
Sp34_10004000.t1	IPR015285	RIO2 kinase winged helix domain, N-terminal
Sp34_10004000.t1	IPR018935	RIO kinase, conserved site
Sp34_10004000.t1	IPR030484	Serine/threonine-protein kinase Rio2
Sp34_10004000.t1	IPR036388	Winged helix-like DNA-binding domain superfamily
Sp34_10004000.t1	IPR036390	Winged helix DNA-binding domain superfamily
Sp34_10004100.t1	IPR000210	BTB/POZ domain
Sp34_10004100.t1	IPR002083	MATH/TRAF domain
Sp34_10004100.t1	IPR008974	TRAF-like
Sp34_10004100.t1	IPR011333	SKP1/BTB/POZ domain superfamily
Sp34_10004200.t1	IPR005033	YEATS
Sp34_10004200.t1	IPR038704	YEATS superfamily
Sp34_10004400.t1	IPR000533	Tropomyosin
Sp34_10004600.t1	IPR000477	Reverse transcriptase domain
Sp34_10004600.t1	IPR005135	Endonuclease/exonuclease/phosphatase
Sp34_10004600.t1	IPR036691	Endonuclease/exonuclease/phosphatase superfamily
Sp34_10004600.t1	IPR043128	Reverse transcriptase/Diguanylate cyclase domain
Sp34_10004600.t1	IPR043502	DNA/RNA polymerase superfamily
Sp34_10004710.t1	IPR000219	Dbl homology (DH) domain
Sp34_10004710.t1	IPR011993	PH-like domain superfamily
Sp34_10004710.t1	IPR035899	Dbl homology (DH) domain superfamily
Sp34_10004800.t1	IPR036397	Ribonuclease H superfamily
Sp34_10005000.t1	IPR002092	DNA-directed RNA polymerase, phage-type
Sp34_10005000.t1	IPR029262	DNA-directed RNA polymerase, N-terminal
Sp34_10005000.t1	IPR037159	DNA-directed RNA polymerase, N-terminal domain superfamily
Sp34_10005000.t1	IPR043502	DNA/RNA polymerase superfamily
Sp34_10005000.t1	IPR046950	DNA-directed RNA polymerase, C-terminal domain, phage-type
Sp34_10005100.t1	IPR000906	ZU5 domain
Sp34_10005100.t1	IPR001478	PDZ domain
Sp34_10005100.t1	IPR008144	Guanylate kinase-like domain
Sp34_10005100.t1	IPR008145	Guanylate kinase/L-type calcium channel beta subunit
Sp34_10005100.t1	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sp34_10005100.t1	IPR036034	PDZ superfamily
Sp34_10005200.t1	IPR036282	Glutathione S-transferase, C-terminal domain superfamily
Sp34_10005310.t1	IPR015943	WD40/YVTN repeat-like-containing domain superfamily
Sp34_10005310.t1	IPR036322	WD40-repeat-containing domain superfamily
Sp34_10005410.t1	IPR006101	Glycoside hydrolase, family 2
Sp34_10005410.t1	IPR006103	Glycoside hydrolase family 2, catalytic domain
Sp34_10005410.t1	IPR017853	Glycoside hydrolase superfamily
Sp34_10005420.t1	IPR006104	Glycosyl hydrolases family 2, sugar binding domain
Sp34_10005420.t1	IPR008979	Galactose-binding-like domain superfamily
Sp34_10005500.t1	IPR005804	Fatty acid desaturase domain
Sp34_10005500.t1	IPR011388	Sphingolipid delta4-desaturase
Sp34_10005500.t1	IPR013866	Sphingolipid delta4-desaturase, N-terminal
Sp34_10005700.t1	IPR001005	SANT/Myb domain
Sp34_10005700.t1	IPR008468	DNA methyltransferase 1-associated 1
Sp34_10005700.t1	IPR027109	SWR1-complex protein 4/DNA methyltransferase 1-associated protein 1
Sp34_10005700.t1	IPR032563	DAMP1, SANT/Myb-like domain
Sp34_10005800.t1	IPR001848	Small ribosomal subunit protein uS10
Sp34_10005800.t1	IPR005729	Small ribosomal subunit protein uS10, eukaryotic/archaeal
Sp34_10005800.t1	IPR027486	Small ribosomal subunit protein uS10 domain
Sp34_10005800.t1	IPR036838	Small ribosomal subunit protein uS10 domain superfamily
Sp34_10005900.t1	IPR004170	WWE domain
Sp34_10005900.t1	IPR018123	WWE domain, subgroup
Sp34_10005900.t1	IPR033509	E3 ubiquitin-protein ligase RNF146
Sp34_10005900.t1	IPR037197	WWE domain superfamily
Sp34_10006210.t1	IPR001757	P-type ATPase
Sp34_10006210.t1	IPR004014	Cation-transporting P-type ATPase, N-terminal
Sp34_10006210.t1	IPR006068	Cation-transporting P-type ATPase, C-terminal
Sp34_10006210.t1	IPR008250	P-type ATPase, A domain superfamily
Sp34_10006210.t1	IPR023214	HAD superfamily
Sp34_10006210.t1	IPR023298	P-type ATPase, transmembrane domain superfamily
Sp34_10006210.t1	IPR023299	P-type ATPase, cytoplasmic domain N
Sp34_10006210.t1	IPR036412	HAD-like superfamily
Sp34_10006510.t1	IPR002634	BolA protein
Sp34_10006510.t1	IPR036065	BolA-like superfamily
Sp34_10006520.t1	IPR006775	Glycosyl-hydrolase family 116, catalytic region
Sp34_10006520.t1	IPR008928	Six-hairpin glycosidase superfamily
Sp34_10006520.t1	IPR012341	Six-hairpin glycosidase-like superfamily
Sp34_10006520.t1	IPR014551	Beta-glucosidase GBA2-type
Sp34_10006520.t1	IPR024462	Glycosyl-hydrolase family 116, N-terminal
Sp34_10006600.t1	IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
Sp34_10006600.t1	IPR008152	Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain
Sp34_10006600.t1	IPR008153	Gamma-adaptin ear (GAE) domain
Sp34_10006600.t1	IPR011989	Armadillo-like helical
Sp34_10006600.t1	IPR013041	Clathrin adaptor, appendage, Ig-like subdomain superfamily
Sp34_10006600.t1	IPR016024	Armadillo-type fold
Sp34_10006600.t1	IPR017107	Adaptor protein complex AP-1, gamma subunit
Sp34_10006700.t1	IPR015943	WD40/YVTN repeat-like-containing domain superfamily
Sp34_10006700.t1	IPR036322	WD40-repeat-containing domain superfamily
Sp34_10006800.t1	IPR000859	CUB domain
