Your Input	WormBase Gene ID	Public Name	Sequence Name	Other Name	RNAi Phenotype Observed	Allele Phenotype Observed	Concise Description	Automated Description	Reference
col-81	WBGene00000657	col-81	F38A3.1	CELE_F38A3.1	N.A.	N.A.	N.A.	Is predicted to be a structural constituent of cuticle.	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140, WBPaper00059205|pmid31972909
hch-1	WBGene00001828	hch-1	F40E10.1	nas-34, CELE_F40E10.1	embryonic lethal	delayed hatching, Q neuroblast lineage migration variant	hch-1 encodes a member of the zinc-dependent metalloprotease family that contains an epidermal growth factor-like domain, a CUB domain, and a TSP1 domain and affects hatching and QL neuroblast migration.	Is predicted to have metalloendopeptidase activity and zinc ion binding activity. Is involved in hatching and neuron migration. Is expressed in hypodermis and seam cell.	WBPaper00002539|pmid8861940, WBPaper00006254|pmid14653817, WBPaper00024242|pmid15255192, WBPaper00024579|pmid15539494, WBPaper00055090|pmid30120140
col-139	WBGene00000712	col-139	F41F3.4	CELE_F41F3.4	locomotion variant, organism morphology variant	N.A.	N.A.	Is predicted to be a structural constituent of cuticle.	WBPaper00059205|pmid31972909
C50F7.9	WBGene00016847	C50F7.9	C50F7.9	CELE_C50F7.9	N.A.	N.A.	N.A.	Is enriched in NSM and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-2\; clk-1\; and sir-2.1 based on microarray and RNA-seq studies. Is affected by glycine and Hydrolyzable Tannins based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
col-129	WBGene00000703	col-129	M18.1	CELE_M18.1	N.A.	N.A.	N.A.	Is predicted to be a structural constituent of cuticle.	WBPaper00027610|pmid16672054, WBPaper00028474|pmid16962739, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140, WBPaper00059205|pmid31972909
C29A12.6	WBGene00007800	C29A12.6	C29A12.6	CELE_C29A12.6	N.A.	N.A.	N.A.	Is enriched in hypodermis and intestine based on tiling array and RNA-seq studies. Is affected by several genes including rrf-3\; daf-12\; and let-7 based on tiling array\; microarray\; and RNA-seq studies. Is affected by twelve chemicals including methylmercuric chloride\; rotenone\; and stavudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: von Willebrand factor type A domain\; von Willebrand factor, type A\; and von Willebrand factor A-like domain superfamily.	N.A.
T05C1.3	WBGene00020250	T05C1.3	T05C1.3	CELE_T05C1.3	N.A.	N.A.	N.A.	Is enriched in NSM\; PLM\; amphid sheath cell\; germline precursor cell\; and hypodermis based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and eat-2 based on tiling array\; RNA-seq\; and microarray studies. Is affected by thirteen chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and manganese chloride based on RNA-seq and microarray studies.	N.A.
col-19	WBGene00000608	col-19	ZK1193.1	col19, CELE_ZK1193.1	breaks in alae, dauer constitutive, multiple alae	N.A.	col-19 encodes a member of the collagen superfamily containing collagen triple helix repeats (20 copies) that is required for normal structure of the alae\; expressed during the L2-to-dauer and L4-to-adult molts with strongest expression in adult animals.	Is a structural constituent of collagen and cuticulin-based cuticle. Is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle. Localizes to alae of collagen and cuticulin-based cuticle extracellular matrix and annuli extracellular matrix. Is expressed in cuticle\; hyp7 syncytium\; syncytium\; vulva\; and in male.	WBPaper00000748|pmid2983191, WBPaper00001099|pmid3148742, WBPaper00001146|pmid2753356, WBPaper00001621|pmid1398138, WBPaper00001835|pmid8307321, WBPaper00002222|pmid7671811, WBPaper00002223|pmid7671813, WBPaper00003119|pmid9649524, WBPaper00005747|pmid12619137, WBPaper00006387|pmid14755799, WBPaper00024429|pmid15330854, WBPaper00024579|pmid15539494, WBPaper00025088|pmid15837805, WBPaper00026926|pmid16254074, WBPaper00029208|pmid17381276, WBPaper00031885|pmid18479457, WBPaper00036739|pmid20678979, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140, WBPaper00056839|pmid31162948, WBPaper00057159|pmid31407662, WBPaper00059169|pmid31968056
cutl-8	WBGene00013960	cutl-8	ZK265.8	CELE_ZK265.8	N.A.	N.A.	N.A.	Is enriched in PLM based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by fifteen chemicals including multi-walled carbon nanotube\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	WBPaper00033469|pmid19528325
T06E4.7	WBGene00011534	T06E4.7	T06E4.7	CELE_T06E4.7	N.A.	N.A.	N.A.	Is enriched in AFD\; germ line\; intestine\; and pharynx based on microarray\; proteomic\; and RNA-seq studies. Is affected by several genes including daf-2\; lin-4\; and lin-14 based on microarray\; RNA-seq\; and tiling array studies. Is affected by seven chemicals including Psoralens\; allantoin\; and metformin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srd and 7TM GPCR, serpentine receptor class d (Srd).	N.A.
ZC84.1	WBGene00013846	ZC84.1	ZC84.1	CELE_ZC84.1	N.A.	N.A.	N.A.	Is predicted to have serine-type endopeptidase inhibitor activity.	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
