	brenneri	briggsae	doughertyi	elegans	inopinata	latens	nigoni	remanei	sinica	sp26	sp40	tropicalis	wallacei
OG0000000	99	61	38	33	0	27	255	18	350	150	66	33	62
OG0000001	3	7	2	0	844	3	29	1	17	3	4	5	3
OG0000002	190	5	74	80	0	49	9	25	425	13	6	17	7
OG0000003	74	23	111	1	12	32	107	43	214	43	10	21	25
OG0000004	1	40	0	2	579	0	36	0	7	0	0	8	9
OG0000005	84	47	72	2	2	36	116	40	136	42	31	23	21
OG0000006	4	0	3	2	522	0	6	0	18	2	10	0	37
OG0000007	57	10	31	27	1	34	13	22	332	15	6	18	26
OG0000008	64	13	36	20	1	17	171	19	206	14	18	3	7
OG0000009	5	3	4	0	408	0	114	0	8	0	0	24	7
OG0000010	11	6	98	0	1	7	81	22	187	33	5	85	27
OG0000011	48	19	55	18	0	13	80	7	73	52	52	26	28
OG0000012	40	23	13	26	28	9	42	8	57	39	26	24	28
OG0000013	48	27	6	43	0	26	19	26	73	7	9	31	19
OG0000014	24	7	24	1	191	3	25	10	31	4	5	4	2
OG0000015	61	9	31	0	2	11	15	16	106	15	15	39	10
OG0000016	29	20	8	1	151	4	42	2	44	6	1	4	18
OG0000017	27	33	37	31	10	3	35	18	40	34	3	27	27
OG0000018	5	38	8	0	0	30	184	17	28	0	2	4	7
OG0000019	8	0	24	0	184	13	19	20	25	3	12	3	8
OG0000020	16	8	13	7	1	21	31	18	58	14	2	105	17
OG0000021	13	8	17	31	0	8	27	16	61	55	27	18	15
OG0000022	38	28	30	19	7	13	32	17	30	22	17	20	20
OG0000023	30	27	29	23	4	12	31	10	33	27	13	25	25
OG0000024	21	1	56	4	0	35	34	39	44	19	22	4	4
OG0000025	11	27	24	16	1	29	29	4	45	23	27	21	6
OG0000026	20	17	15	31	10	9	23	18	22	17	19	33	29
OG0000027	42	4	18	4	1	36	20	33	38	17	14	12	9
OG0000028	19	8	19	9	74	11	14	14	21	15	16	15	12
OG0000029	23	26	1	43	33	5	26	4	22	24	3	14	23
OG0000030	1	5	4	3	214	0	0	2	2	0	0	4	0
OG0000031	41	16	5	24	9	2	20	2	34	25	31	11	13
OG0000032	28	20	20	32	7	14	20	11	21	21	4	14	17
OG0000033	25	1	4	0	50	9	46	4	51	5	10	9	13
OG0000034	45	2	48	0	2	17	4	14	49	2	1	32	10
OG0000035	24	1	13	0	3	13	5	3	36	18	23	53	31
OG0000036	23	17	16	29	1	12	10	12	32	20	6	25	18
OG0000037	18	22	16	21	29	4	21	18	19	18	0	15	18
OG0000038	48	9	8	5	0	21	36	22	39	4	20	5	0
OG0000039	27	24	28	12	10	10	25	8	24	18	1	13	15
OG0000040	6	14	29	0	0	7	38	9	56	16	5	24	2
OG0000041	15	6	11	7	2	10	38	5	44	35	7	13	10
OG0000042	0	160	1	1	0	1	11	0	2	21	0	0	0
OG0000043	8	6	15	0	89	10	11	5	14	16	7	8	7
OG0000044	32	7	18	13	6	10	27	14	21	9	8	15	6
OG0000045	23	1	46	0	0	9	1	19	32	31	6	3	14
OG0000046	40	9	14	9	4	16	21	4	22	11	11	12	11
OG0000047	28	1	46	0	0	3	2	2	68	9	6	4	12
OG0000048	17	13	9	25	1	12	8	11	36	11	15	10	11
OG0000049	23	8	22	11	12	13	23	12	18	13	12	4	7
OG0000050	12	1	13	0	0	18	21	23	31	45	5	5	2
OG0000051	17	13	10	0	0	15	62	3	24	3	3	23	2
OG0000052	27	17	17	18	5	3	19	9	22	14	6	6	10
OG0000053	9	10	4	2	1	5	40	2	46	14	21	8	9
OG0000054	0	0	0	166	2	0	0	0	2	0	0	0	1
OG0000055	9	12	15	8	3	15	22	9	20	15	6	19	16
OG0000056	6	8	3	1	1	7	83	6	16	15	6	7	8
OG0000057	9	5	29	0	4	15	20	24	28	6	2	18	1
OG0000058	34	13	16	18	6	6	13	5	5	11	11	10	11
OG0000059	15	3	9	7	16	7	43	3	16	8	9	1	18
OG0000060	16	15	7	14	3	11	5	8	34	6	12	14	9
OG0000061	12	3	24	5	1	13	14	14	21	21	12	7	6
OG0000062	26	6	11	5	3	10	31	8	22	10	15	3	2
OG0000063	20	14	9	18	5	0	18	10	12	14	0	11	20
OG0000064	5	3	19	0	2	13	9	10	9	16	39	7	17
OG0000065	8	15	23	6	3	15	17	15	19	6	6	3	13
OG0000066	12	3	12	8	0	27	4	21	9	12	16	11	14
OG0000067	19	8	3	35	2	5	4	3	39	14	8	5	2
OG0000068	14	5	7	8	12	15	25	7	14	12	5	13	8
OG0000069	26	15	13	5	7	15	18	5	5	3	12	12	7
OG0000070	12	12	4	3	0	18	39	14	26	1	6	1	4
OG0000071	16	5	18	1	0	15	33	14	14	12	9	2	1
OG0000072	18	2	16	6	0	15	12	25	22	9	4	10	1
OG0000073	14	12	4	13	13	8	12	10	12	12	9	9	12
OG0000074	7	16	3	19	1	9	8	9	37	7	9	10	3
OG0000075	16	8	14	10	1	11	9	8	24	7	5	17	8
OG0000076	0	0	0	0	136	0	0	0	0	1	1	0	0
OG0000077	32	11	0	17	5	9	10	8	2	8	16	8	11
OG0000078	17	18	11	7	7	12	29	1	9	7	4	8	7
OG0000079	18	10	5	10	4	10	8	10	11	11	10	12	18
OG0000080	0	31	0	0	0	0	94	0	12	0	0	0	0
OG0000081	28	2	7	6	15	8	22	7	20	9	2	7	2
OG0000082	12	14	3	5	4	8	14	5	29	20	17	3	1
OG0000083	13	11	0	10	25	11	11	10	11	10	2	10	9
OG0000084	15	9	9	6	0	8	21	7	34	8	7	6	3
OG0000085	14	7	27	1	1	8	14	7	19	7	12	7	8
OG0000086	11	0	26	3	0	9	2	14	13	5	19	12	18
OG0000087	14	4	20	1	1	11	29	14	18	9	9	0	1
OG0000088	23	2	18	19	0	2	0	2	21	1	1	37	3
OG0000089	17	13	5	6	1	6	22	7	25	4	7	10	6
OG0000090	11	8	5	21	0	8	3	12	28	1	7	18	5
OG0000091	9	9	11	14	3	10	11	8	16	17	9	2	7
OG0000092	12	16	0	8	0	7	19	5	12	15	0	10	22
OG0000093	14	5	10	5	22	11	4	3	26	7	7	5	6
OG0000094	8	12	8	11	5	7	18	1	12	12	11	11	9
OG0000095	14	6	9	2	0	8	9	9	29	14	16	4	4
OG0000096	12	5	14	9	1	5	14	5	25	10	9	8	7
OG0000097	13	12	2	13	2	8	11	9	12	10	12	10	10
OG0000098	0	15	0	0	0	0	72	0	17	5	15	0	0
OG0000099	14	9	17	11	3	9	11	5	9	9	13	6	7
OG0000100	2	12	2	0	0	4	67	2	21	9	1	1	1
OG0000101	34	11	0	16	6	0	10	0	5	12	11	8	8
OG0000102	1	0	70	2	1	0	0	0	2	0	0	38	7
