wbid,term,found
WBGene00004398,structural constituent of cuticle GO:0042302,1.0
WBGene00001071,structural constituent of cuticle GO:0042302,1.0
WBGene00003057,structural constituent of cuticle GO:0042302,1.0
WBGene00000251,structural constituent of cuticle GO:0042302,1.0
WBGene00001070,structural constituent of cuticle GO:0042302,1.0
WBGene00001072,structural constituent of cuticle GO:0042302,1.0
WBGene00001065,structural constituent of cuticle GO:0042302,1.0
WBGene00000747,structural constituent of cuticle GO:0042302,1.0
WBGene00005016,structural constituent of cuticle GO:0042302,1.0
WBGene00000651,structural constituent of cuticle GO:0042302,1.0
WBGene00000255,structural constituent of cuticle GO:0042302,1.0
WBGene00005017,structural constituent of cuticle GO:0042302,1.0
WBGene00001076,structural constituent of cuticle GO:0042302,1.0
WBGene00004397,structural constituent of cuticle GO:0042302,1.0
WBGene00000853,structural constituent of cuticle GO:0042302,1.0
WBGene00001064,structural constituent of cuticle GO:0042302,1.0
WBGene00009041,structural constituent of cuticle GO:0042302,1.0
WBGene00000695,structural constituent of cuticle GO:0042302,1.0
WBGene00001075,structural constituent of cuticle GO:0042302,1.0
WBGene00001069,structural constituent of cuticle GO:0042302,1.0
WBGene00011104,structural constituent of cuticle GO:0042302,1.0
WBGene00006620,serine-type endopeptidase activity GO:0004252,1.0
WBGene00011328,serine-type endopeptidase activity GO:0004252,1.0
WBGene00000255,serine-type endopeptidase activity GO:0004252,1.0
WBGene00012186,serine-type endopeptidase activity GO:0004252,1.0
WBGene00015426,serine-type endopeptidase activity GO:0004252,1.0
WBGene00009328,serine-type endopeptidase activity GO:0004252,1.0
WBGene00013846,serine-type endopeptidase activity GO:0004252,1.0
WBGene00020648,serine-type endopeptidase activity GO:0004252,1.0
WBGene00015620,serine-type endopeptidase activity GO:0004252,1.0
WBGene00020017,serine-type endopeptidase activity GO:0004252,1.0
WBGene00012271,serine-type endopeptidase activity GO:0004252,1.0
WBGene00007479,serine-type endopeptidase activity GO:0004252,1.0
WBGene00013849,serine-type endopeptidase activity GO:0004252,1.0
WBGene00023416,serine-type endopeptidase activity GO:0004252,1.0
WBGene00010738,serine-type endopeptidase activity GO:0004252,1.0
