wbid,term,found
WBGene00001071,dumpy WBPhenotype:0000583,1.0
WBGene00005016,dumpy WBPhenotype:0000583,1.0
WBGene00016319,dumpy WBPhenotype:0000583,1.0
WBGene00010948,dumpy WBPhenotype:0000583,1.0
WBGene00009041,dumpy WBPhenotype:0000583,1.0
WBGene00005017,dumpy WBPhenotype:0000583,1.0
WBGene00001069,dumpy WBPhenotype:0000583,1.0
WBGene00000255,dumpy WBPhenotype:0000583,1.0
WBGene00000853,dumpy WBPhenotype:0000583,1.0
WBGene00044623,dumpy WBPhenotype:0000583,1.0
WBGene00004219,dumpy WBPhenotype:0000583,1.0
WBGene00001072,dumpy WBPhenotype:0000583,1.0
WBGene00001065,dumpy WBPhenotype:0000583,1.0
WBGene00001076,dumpy WBPhenotype:0000583,1.0
WBGene00004397,dumpy WBPhenotype:0000583,1.0
WBGene00001064,dumpy WBPhenotype:0000583,1.0
WBGene00019154,dumpy WBPhenotype:0000583,1.0
WBGene00011104,dumpy WBPhenotype:0000583,1.0
WBGene00009653,dumpy WBPhenotype:0000583,1.0
WBGene00018572,dumpy WBPhenotype:0000583,1.0
WBGene00001075,dumpy WBPhenotype:0000583,1.0
WBGene00008256,dumpy WBPhenotype:0000583,1.0
WBGene00000449,dumpy WBPhenotype:0000583,1.0
WBGene00013130,dumpy WBPhenotype:0000583,1.0
WBGene00013585,dumpy WBPhenotype:0000583,1.0
WBGene00010830,dumpy WBPhenotype:0000583,1.0
WBGene00001070,dumpy WBPhenotype:0000583,1.0
WBGene00022577,dumpy WBPhenotype:0000583,1.0
WBGene00022591,dumpy WBPhenotype:0000583,1.0
WBGene00009041,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00010442,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00000853,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00044630,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00012261,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00011104,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00000485,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00006526,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00018572,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00006366,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00044620,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00022591,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00000902,pericellular component development variant WBPhenotype:0000200,1.0
WBGene00003808,tail bend angle increased WBPhenotype:0002289,1.0
WBGene00002094,tail bend angle increased WBPhenotype:0002289,1.0
WBGene00001676,tail bend angle increased WBPhenotype:0002289,1.0
WBGene00012116,tail bend angle increased WBPhenotype:0002289,1.0
WBGene00001677,tail bend angle increased WBPhenotype:0002289,1.0
WBGene00000062,tail bend angle increased WBPhenotype:0002289,1.0
WBGene00001667,tail bend angle increased WBPhenotype:0002289,1.0
WBGene00006614,tail bend angle increased WBPhenotype:0002289,1.0
WBGene00001676,body posture amplitude increased WBPhenotype:0002293,1.0
WBGene00001677,body posture amplitude increased WBPhenotype:0002293,1.0
WBGene00000062,body posture amplitude increased WBPhenotype:0002293,1.0
WBGene00001210,body posture amplitude increased WBPhenotype:0002293,1.0
WBGene00001667,body posture amplitude increased WBPhenotype:0002293,1.0
WBGene00006790,body posture amplitude increased WBPhenotype:0002293,1.0
WBGene00006873,body posture amplitude increased WBPhenotype:0002293,1.0
WBGene00012137,body posture amplitude increased WBPhenotype:0002293,1.0
WBGene00001701,body morphology variant WBPhenotype:0000072,1.0
WBGene00001071,body morphology variant WBPhenotype:0000072,1.0
WBGene00005016,body morphology variant WBPhenotype:0000072,1.0
WBGene00016319,body morphology variant WBPhenotype:0000072,1.0
WBGene00010948,body morphology variant WBPhenotype:0000072,1.0
WBGene00003808,body morphology variant WBPhenotype:0000072,1.0
WBGene00009041,body morphology variant WBPhenotype:0000072,1.0
WBGene00006948,body morphology variant WBPhenotype:0000072,1.0
WBGene00005017,body morphology variant WBPhenotype:0000072,1.0
WBGene00001069,body morphology variant WBPhenotype:0000072,1.0
WBGene00000255,body morphology variant WBPhenotype:0000072,1.0
WBGene00000853,body morphology variant WBPhenotype:0000072,1.0
WBGene00003841,body morphology variant WBPhenotype:0000072,1.0
WBGene00006947,body morphology variant WBPhenotype:0000072,1.0
WBGene00002094,body morphology variant WBPhenotype:0000072,1.0
WBGene00044623,body morphology variant WBPhenotype:0000072,1.0
WBGene00004219,body morphology variant WBPhenotype:0000072,1.0
WBGene00001072,body morphology variant WBPhenotype:0000072,1.0
WBGene00006952,body morphology variant WBPhenotype:0000072,1.0
WBGene00044621,body morphology variant WBPhenotype:0000072,1.0
WBGene00001065,body morphology variant WBPhenotype:0000072,1.0
WBGene00001076,body morphology variant WBPhenotype:0000072,1.0
WBGene00044630,body morphology variant WBPhenotype:0000072,1.0
WBGene00002393,body morphology variant WBPhenotype:0000072,1.0
WBGene00001676,body morphology variant WBPhenotype:0000072,1.0
WBGene00012261,body morphology variant WBPhenotype:0000072,1.0
WBGene00004393,body morphology variant WBPhenotype:0000072,1.0
WBGene00001677,body morphology variant WBPhenotype:0000072,1.0
WBGene00004397,body morphology variant WBPhenotype:0000072,1.0
WBGene00001064,body morphology variant WBPhenotype:0000072,1.0
WBGene00019154,body morphology variant WBPhenotype:0000072,1.0
